#: table_doi: 10.17182/hepdata.91374.v1/t26
#: name: Figure 29b
#: description: Efficiency for the N2N1 higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_29b.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.47772
100.0,20.0,0.42943
101.5,1.5,0.35374
102.0,2.0,0.45244
103.0,3.0,0.48372
105.0,5.0,0.47033
110.0,10.0,0.47252
110.0,30.0,0.46118
115.0,15.0,0.43602
120.0,20.0,0.45041
120.0,60.0,0.48478
120.0,40.0,0.45511
126.5,1.5,0.6537
127.0,2.0,0.43757
128.0,3.0,0.45904
130.0,30.0,0.45759
130.0,5.0,0.4444
135.0,10.0,0.44041
140.0,40.0,0.45366
140.0,15.0,0.43479
140.0,60.0,0.45202
145.0,20.0,0.45276
152.0,2.0,0.44362
153.0,3.0,0.4451
155.0,30.0,0.45341
155.0,5.0,0.46293
160.0,60.0,0.4321
160.0,10.0,0.41357
165.0,40.0,0.49929
165.0,15.0,0.45417
170.0,20.0,0.43143
178.0,3.0,0.46522
180.0,30.0,0.47512
180.0,5.0,0.42936
185.0,10.0,0.47042
190.0,40.0,0.45354
190.0,15.0,0.41398
195.0,20.0,0.43893
202.0,2.0,0.47055
203.0,3.0,0.48842
205.0,5.0,0.45209
210.0,10.0,0.42757
215.0,15.0,0.43332
220.0,20.0,0.42803
230.0,30.0,0.4513
230.0,5.0,0.48119
235.0,10.0,0.45826
240.0,40.0,0.46143
240.0,15.0,0.48142
252.0,2.0,0.41577
253.0,3.0,0.45956
255.0,5.0,0.44354
260.0,10.0,0.4082
265.0,15.0,0.42578
270.0,20.0,0.44972
280.0,30.0,0.44933
290.0,40.0,0.48643
81.5,1.5,0.26375
82.0,2.0,0.47785
83.0,3.0,0.51103
85.0,5.0,0.44493
90.0,10.0,0.45172
95.0,15.0,0.42281

