#: table_doi: 10.17182/hepdata.91374.v1/t16
#: name: Figure 16b LH selectron Observed
#: description: Observed 95% CL exclusion sensitivity for simplified models of direct LH selectron production.
#: data_file: figure_16b_lh_selectron_observed.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.7298
50.023,0.7303
52.017,0.7672
52.525,0.777
54.09,0.8061
55.05,0.8245
56.255,0.847
57.576,0.8722
58.529,0.8898
60.101,0.9198
60.926,0.935
62.626,0.9672
63.459,0.9824
65.151,1.0141
66.14,1.032
67.677,1.061
68.975,1.0844
70.202,1.1074
71.963,1.1395
72.727,1.1537
75.1,1.197
75.252,1.2001
77.778,1.2465
78.4,1.2578
80.303,1.2936
81.822,1.3213
82.828,1.3409
85.324,1.3884
85.353,1.389
87.879,1.4388
88.903,1.4588
90.404,1.4897
92.473,1.5325
92.929,1.5428
95.454,1.5981
96.005,1.6103
97.98,1.6565
99.455,1.692
100.51,1.7183
102.79,1.7775
103.03,1.784
105.56,1.8548
106.0,1.8677
108.08,1.9311
109.08,1.9625
110.61,2.0123
112.05,2.0616
113.13,2.1004
114.91,2.1662
115.66,2.1943
117.7,2.2756
118.18,2.2956
120.44,2.3911
120.71,2.4027
123.14,2.5125
123.23,2.5165
125.76,2.6363
125.82,2.6394
128.28,2.7618
128.5,2.7733
130.81,2.8933
131.19,2.9141
133.33,3.0304
133.89,3.0613
135.86,3.1725
136.61,3.2166
138.38,3.3212
139.35,3.3799
140.91,3.4754
142.1,3.5506
143.43,3.6366
144.85,3.7308
145.96,3.8063
147.58,3.9201
148.48,3.9847
150.29,4.1181
151.01,4.1745
152.93,4.3271
153.54,4.3782
155.49,4.5457
156.06,4.5994
157.94,4.7764
158.59,4.844
160.24,5.0188
161.11,5.1227
162.35,5.2723
163.64,5.4538
164.24,5.5399
165.89,5.821
166.16,5.8803
167.25,6.115
168.29,6.4254
168.69,6.6054
169.0,6.7515
169.35,7.0925
169.32,7.4525
168.89,7.8289
168.69,7.925
168.06,8.2262
166.82,8.6437
166.16,8.8125
165.16,9.0803
163.64,9.4146
163.07,9.5411
161.11,9.9197
160.57,10.025
158.59,10.37
157.66,10.532
156.06,10.79
154.35,11.066
153.54,11.187
151.01,11.569
150.63,11.628
148.48,11.934
146.54,12.215
145.96,12.294
143.43,12.645
142.09,12.835
140.91,12.993
138.38,13.338
137.32,13.486
135.86,13.68
133.33,14.022
132.29,14.168
130.81,14.368
128.28,14.713
127.04,14.887
125.76,15.059
123.23,15.414
121.64,15.639
120.71,15.773
118.18,16.136
116.16,16.432
115.66,16.508
113.13,16.885
110.66,17.266
110.61,17.274
108.08,17.673
105.56,18.08
105.18,18.138
103.03,18.497
100.51,18.928
99.762,19.059
97.98,19.373
95.454,19.829
94.413,20.026
92.929,20.305
90.404,20.792
89.15,21.038
87.879,21.296
85.353,21.817
83.982,22.105
82.828,22.356
80.303,22.914
78.913,23.227
77.778,23.491
75.252,24.088
73.947,24.401
72.727,24.706
70.202,25.351
69.085,25.639
67.677,26.02
65.151,26.712
64.331,26.934
62.626,27.435
60.101,28.177
59.689,28.301
57.576,28.967
55.168,29.737
55.05,29.778
52.525,30.641
50.775,31.239
50.0,31.528

