#: table_doi: 10.17182/hepdata.91374.v1/t19
#: name: Figure 28a
#: description: Acceptance (note the $z$-axis is in units of $10^{-4}$) for the C1C1 higgsino process in the SR-E-high region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_28a.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-4}$)
100.0,40.0,0.37809
100.0,20.0,0.51748
101.5,1.5,0.00010734
102.0,2.0,0.0014106
103.0,3.0,0.0085887
105.0,5.0,0.067266
110.0,10.0,0.25228
110.0,30.0,0.87104
115.0,15.0,0.43905
120.0,20.0,0.6021
120.0,60.0,0.41609
120.0,40.0,0.62141
126.5,1.5,0.0
127.0,2.0,0.00046986
128.0,3.0,0.005382
130.0,30.0,0.84519
130.0,5.0,0.054459
135.0,10.0,0.30111
140.0,40.0,0.82487
140.0,15.0,0.55262
140.0,60.0,0.63427
145.0,20.0,0.73819
152.0,2.0,0.00022586
153.0,3.0,0.0031801
155.0,30.0,1.0112
155.0,5.0,0.040861
160.0,60.0,0.88089
160.0,10.0,0.28744
165.0,40.0,1.034
165.0,15.0,0.60862
170.0,20.0,0.86064
178.0,3.0,0.0034847
180.0,30.0,1.1703
180.0,5.0,0.021092
185.0,10.0,0.24273
190.0,40.0,1.365
190.0,15.0,0.59812
195.0,20.0,0.90041
202.0,2.0,0.0
203.0,3.0,0.0016479
205.0,5.0,0.019861
210.0,10.0,0.20573
215.0,15.0,0.59211
220.0,20.0,0.96507
230.0,30.0,1.3929
230.0,5.0,0.014988
235.0,10.0,0.25247
240.0,40.0,1.9434
240.0,15.0,0.54686
252.0,2.0,0.00020564
253.0,3.0,0.00087864
255.0,5.0,0.014314
260.0,10.0,0.20487
265.0,15.0,0.64543
270.0,20.0,0.88947
280.0,30.0,1.5366
290.0,40.0,1.8808
81.5,1.5,0.00069441
82.0,2.0,0.0016877
83.0,3.0,0.011869
85.0,5.0,0.080495
90.0,10.0,0.29213
95.0,15.0,0.38833

