#: table_doi: 10.17182/hepdata.91374.v1/t44
#: name: Figure 31d
#: description: Efficiency for the N2C1m higgsino process in the SR-E-low region.  Truth dilepton invariant mass is constrained to be within the range [0.5,60] GeV.
#: data_file: figure_31d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
100.0,40.0,0.35811
100.0,20.0,0.43365
101.5,1.5,0.0
102.0,2.0,0.5135
103.0,3.0,0.51704
105.0,5.0,0.53174
110.0,10.0,0.42004
110.0,30.0,0.39211
115.0,15.0,0.42526
120.0,20.0,0.43813
120.0,60.0,0.27766
120.0,40.0,0.46034
126.5,1.5,0.0
127.0,2.0,0.0
128.0,3.0,0.86461
130.0,30.0,0.45656
130.0,5.0,0.54935
135.0,10.0,0.44943
140.0,40.0,0.42805
140.0,15.0,0.44248
140.0,60.0,0.44606
145.0,20.0,0.40391
152.0,2.0,0.30851
153.0,3.0,0.73096
155.0,30.0,0.40553
155.0,5.0,0.45785
160.0,60.0,0.2817
160.0,10.0,0.45578
165.0,40.0,0.41041
165.0,15.0,0.45499
170.0,20.0,0.41945
178.0,3.0,0.1342
180.0,30.0,0.4224
180.0,5.0,0.6304
185.0,10.0,0.34573
190.0,40.0,0.39046
190.0,15.0,0.49005
195.0,20.0,0.4739
202.0,2.0,0.0
203.0,3.0,0.52041
205.0,5.0,0.42842
210.0,10.0,0.43229
215.0,15.0,0.42029
220.0,20.0,0.44196
230.0,30.0,0.41749
230.0,5.0,0.3761
235.0,10.0,0.39698
240.0,40.0,0.40778
240.0,15.0,0.43199
252.0,2.0,1.2184
253.0,3.0,0.5952
255.0,5.0,0.45574
260.0,10.0,0.4253
265.0,15.0,0.423
270.0,20.0,0.43799
280.0,30.0,0.41752
290.0,40.0,0.43481
81.5,1.5,0.0
82.0,2.0,0.33516
83.0,3.0,0.49
85.0,5.0,0.46488
90.0,10.0,0.45769
95.0,15.0,0.43839

