#: table_doi: 10.17182/hepdata.91374.v1/t13
#: name: Figure 16b RH smuon Expected
#: description: Expected 95% CL exclusion sensitivity for simplified models of direct RH smuon production.
#: data_file: figure_16b_rh_smuon_expected.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering | Exclusion | Limits
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]"
50.0,0.9281
50.362,0.935
52.525,0.9766
52.827,0.9824
55.05,1.0261
55.356,1.032
57.576,1.0772
57.934,1.0844
60.101,1.1301
60.542,1.1395
62.626,1.1852
63.159,1.197
65.151,1.2434
65.762,1.2578
67.677,1.3053
68.332,1.3213
70.202,1.3712
70.851,1.3884
72.727,1.4421
73.306,1.4588
75.252,1.5188
75.691,1.5325
77.778,1.6029
78.001,1.6103
80.243,1.692
80.303,1.6943
82.433,1.7775
82.828,1.7943
84.572,1.8677
85.353,1.9028
86.675,1.9625
87.879,2.0198
88.756,2.0616
90.404,2.1444
90.832,2.1662
92.921,2.2756
92.929,2.2761
95.053,2.3911
95.454,2.4138
97.227,2.5125
97.98,2.5556
99.452,2.6394
100.51,2.7015
101.74,2.7733
103.03,2.851
104.09,2.9141
105.56,3.004
106.5,3.0613
108.08,3.1615
108.96,3.2166
110.61,3.3243
111.46,3.3799
113.13,3.493
113.97,3.5506
115.66,3.6711
116.48,3.7308
118.18,3.861
118.94,3.9201
120.71,4.0663
121.33,4.1181
123.23,4.2914
123.62,4.3271
125.76,4.5457
125.76,4.5457
127.74,4.7764
128.28,4.8484
129.53,5.0188
130.81,5.2252
131.1,5.2723
132.43,5.5399
133.33,5.773
133.51,5.821
134.33,6.115
134.85,6.4254
135.08,6.7515
134.98,7.0925
134.53,7.4525
133.73,7.8289
133.33,7.9598
132.54,8.2262
130.94,8.6437
130.81,8.6716
128.93,9.0803
128.28,9.2024
126.49,9.5411
125.76,9.6627
123.61,10.025
123.23,10.081
120.71,10.471
120.32,10.532
118.18,10.839
116.64,11.066
115.66,11.202
113.13,11.553
112.62,11.628
110.61,11.899
108.32,12.215
108.08,12.249
105.56,12.592
103.81,12.835
103.03,12.939
100.51,13.292
99.151,13.486
97.98,13.649
95.454,14.012
94.4,14.168
92.929,14.381
90.404,14.764
89.61,14.887
87.879,15.153
85.353,15.553
84.816,15.639
82.828,15.963
80.303,16.387
80.044,16.432
77.778,16.827
75.312,17.266
75.252,17.274
72.727,17.742
70.635,18.138
70.202,18.222
67.677,18.72
66.008,19.059
65.151,19.235
62.626,19.765
61.434,20.026
60.101,20.319
57.576,20.883
56.909,21.038
55.05,21.473
52.525,22.085
52.434,22.105
50.0,22.714

