#: table_doi: 10.17182/hepdata.91374.v1/t51
#: name: Figure 32c
#: description: Acceptance (note the $z$-axis is in units of $10^{-3}$) for the slepton process in the SR-S-high region.  Truth stransverse mass is constrained to be within the range [100,140] GeV.
#: data_file: figure_32c.yaml
#: keyword reactions: P P --> SLEPTON SLEPTON
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\ell})$ [GeV],"$\Delta m(\tilde{\ell},\tilde{\chi}_{1}^{0})$ [GeV]",Acceptance (note the $z$-axis is in units of $10^{-3}$)
100.0,40.0,0.38993
100.0,30.0,0.5665
100.0,20.0,1.0235
100.0,10.0,2.3852
100.0,5.0,3.0011
100.0,2.0,1.459
100.0,1.0,0.44549
100.0,0.7,0.12431
100.0,0.5,0.023779
125.0,20.0,1.7514
125.0,10.0,4.0693
125.0,5.0,4.475
125.0,2.0,2.0737
125.0,1.0,0.491
125.0,0.7,0.11253
125.0,0.5,0.016869
125.0,40.0,0.73959
125.0,30.0,0.97737
150.0,40.0,0.81911
150.0,30.0,1.583
150.0,25.7,1.7794
150.0,20.0,2.4674
150.0,10.0,5.9106
150.0,5.0,7.2882
150.0,2.0,2.6204
150.0,1.0,0.39287
150.0,0.5,0.019355
175.0,40.0,1.2936
175.0,30.0,1.9714
175.0,20.0,3.4037
175.0,10.0,7.5463
175.0,5.0,8.1014
175.0,2.0,2.8831
175.0,1.0,0.46672
200.0,40.0,1.5955
200.0,30.0,2.3779
200.0,20.0,4.7115
200.0,10.0,9.056
200.0,5.0,8.7644
200.0,2.0,3.129
200.0,1.0,0.40136
225.0,40.0,1.2352
225.0,30.0,2.9394
225.0,20.0,4.9006
225.0,10.0,10.922
225.0,5.0,9.9428
225.0,2.0,3.3492
225.0,1.0,0.38
250.0,20.0,5.7043
250.0,10.0,12.108
250.0,5.0,11.957
250.0,2.0,3.6737
250.0,1.0,0.27959
300.0,10.0,13.119
300.0,5.0,12.944
300.0,2.0,3.7034
50.0,5.0,0.33083
50.0,2.0,0.30226
50.0,1.0,0.13177
50.0,0.7,0.067932
50.0,0.5,0.031939
50.0,0.3,0.0042579
60.0,5.0,0.74076
60.0,2.0,0.53463
60.0,1.0,0.21612
60.0,0.7,0.10456
60.0,0.5,0.041059
60.0,0.3,0.004501
70.0,5.0,1.1946
70.0,2.0,0.79085
70.0,1.0,0.29427
70.0,0.7,0.12321
70.0,0.5,0.037834
90.0,40.0,0.27539
90.0,20.0,0.7723

