#: table_doi: 10.17182/hepdata.91374.v1/t70
#: name: Figure 35d
#: description: Efficiency for the N2C1p VBF higgsino process in the SR-VBF-low region.  Truth dilepton invariant mass is constrained to be within the range [1,40] GeV.
#: data_file: figure_35d.yaml
#: keyword reactions: P P --> HIGGSINO HIGGSINO JET JET
#: keyword cmenergies: 13000
#: keyword phrases: SUSY | Proton-Proton Scattering
$m(\tilde{\chi}_{2}^{0})$ [GeV],"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]",Efficiency
40.0,2.0,0.27664
40.0,3.0,0.26724
40.0,5.0,0.27106
40.0,10.0,0.35274
40.0,20.0,0.41976
40.0,40.0,0.36871
60.0,2.0,0.37451
60.0,3.0,0.45518
60.0,5.0,0.43106
60.0,10.0,0.34075
60.0,20.0,0.47178
60.0,40.0,0.44179
80.0,2.0,0.40917
80.0,3.0,0.49781
80.0,5.0,0.42009
80.0,10.0,0.37076
80.0,20.0,0.42414
80.0,40.0,0.42797
120.0,2.0,0.49934
120.0,3.0,0.48602
120.0,5.0,0.42881
120.0,10.0,0.35931
120.0,20.0,0.38522
120.0,40.0,0.39351
100.0,2.0,0.42344
100.0,3.0,0.4349
100.0,5.0,0.438

