#: table_doi: 10.17182/hepdata.79165.v2/t66
#: name: Contour 37
#: description: Expected exclusion limit for B combination for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data65.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
525.6,309.2
551.9,313.3
565.0,306.2
573.7,293.8
578.1,288.3
584.4,281.2
595.2,268.8
604.4,258.9
607.9,256.2
615.1,243.8
620.5,231.2
620.1,218.8
619.8,206.2
621.0,193.8
625.3,181.2
628.0,168.8
630.3,156.2
628.5,143.8
622.6,131.2
620.3,118.8
616.3,106.2
616.3,100.0
296.8,100.0
296.8,106.2
289.4,109.4
282.8,112.8
476.4,306.4
482.4,306.2
499.4,305.5
504.0,306.2
525.6,309.2

