#: table_doi: 10.17182/hepdata.79165.v2/t36
#: name: Contour 7
#: description: Expected exclusion limit for b0L-SRA450 for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data35.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
784.1,243.8
787.5,237.1
791.2,231.2
799.1,218.8
806.1,206.2
810.4,193.8
812.0,181.2
812.5,178.4
814.1,168.8
816.2,156.2
817.9,143.8
819.1,131.2
820.1,118.8
820.7,106.2
820.7,100.0
506.1,100.0
506.1,106.2
512.5,111.4
521.5,118.8
536.9,131.2
537.5,131.7
552.3,143.8
562.5,153.2
565.7,156.2
576.6,168.8
585.2,181.2
587.5,185.3
593.9,193.8
603.9,206.2
612.5,216.7
615.1,218.8
630.3,231.2
637.5,238.1
647.7,243.8
662.5,254.3
668.5,256.2
687.5,262.9
704.1,268.8
712.5,271.7
737.5,278.4
762.5,273.5
767.9,268.8
777.3,256.2
784.1,243.8

