#: table_doi: 10.17182/hepdata.79165.v2/t24
#: name: Efficiency 11
#: description: Signal efficiency (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRB signal region.
#: data_file: data23.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],EFFICIENCY [PCT]
1000.0,100.0,53.0
1000.0,150.0,52.0
1000.0,200.0,42.0
1000.0,250.0,58.0
1000.0,300.0,48.0
1000.0,350.0,51.0
1000.0,450.0,57.0
1000.0,500.0,55.0
1050.0,100.0,60.0
1050.0,150.0,54.0
1050.0,200.0,46.0
1050.0,300.0,59.0
1050.0,350.0,59.0
1050.0,400.0,45.0
1050.0,450.0,43.0
1050.0,500.0,59.0
1050.0,550.0,40.0
1100.0,100.0,46.0
1100.0,150.0,48.0
1100.0,200.0,71.0
1100.0,250.0,46.0
1100.0,300.0,51.0
1100.0,350.0,49.0
1100.0,400.0,51.0
1100.0,450.0,50.0
1100.0,550.0,39.0
1150.0,100.0,47.0
1150.0,150.0,48.0
1150.0,200.0,47.0
1150.0,250.0,58.0
1150.0,300.0,50.0
1150.0,350.0,60.0
1150.0,400.0,54.0
1150.0,450.0,47.0
1150.0,500.0,49.0
1150.0,550.0,54.0
1200.0,150.0,55.0
1200.0,200.0,51.0
1200.0,250.0,62.0
1200.0,300.0,55.0
1200.0,350.0,42.0
1200.0,400.0,59.0
1200.0,450.0,47.0
1200.0,500.0,54.0
1200.0,550.0,49.0
1250.0,100.0,44.0
1250.0,150.0,55.0
1250.0,200.0,56.0
1250.0,250.0,71.0
1250.0,300.0,46.0
1250.0,350.0,56.0
1250.0,400.0,49.0
1250.0,450.0,40.0
1250.0,500.0,53.0
1250.0,550.0,49.0
1300.0,100.0,55.0
1300.0,150.0,54.0
1300.0,200.0,77.0
1300.0,250.0,44.0
1300.0,300.0,41.0
1300.0,350.0,50.0
1300.0,400.0,42.0
1300.0,450.0,48.0
1300.0,500.0,51.0
1300.0,550.0,40.0
300.0,100.0,22.0
400.0,100.0,34.0
400.0,150.0,34.0
450.0,150.0,37.0
450.0,200.0,38.0
500.0,100.0,41.0
500.0,200.0,39.0
500.0,250.0,35.0
500.0,300.0,24.0
550.0,100.0,45.0
550.0,200.0,34.0
550.0,250.0,38.0
550.0,300.0,41.0
600.0,100.0,45.0
600.0,150.0,45.0
600.0,200.0,43.0
600.0,300.0,35.0
600.0,350.0,36.0
600.0,400.0,29.0
650.0,150.0,48.0
650.0,200.0,38.0
650.0,250.0,44.0
650.0,300.0,42.0
650.0,350.0,41.0
650.0,400.0,33.0
650.0,450.0,32.0
700.0,100.0,46.0
700.0,150.0,51.0
700.0,200.0,44.0
700.0,250.0,46.0
700.0,300.0,47.0
700.0,350.0,39.0
700.0,400.0,41.0
700.0,450.0,32.0
700.0,500.0,37.0
750.0,100.0,44.0
750.0,150.0,52.0
750.0,200.0,51.0
750.0,250.0,40.0
750.0,300.0,45.0
750.0,350.0,45.0
750.0,400.0,42.0
750.0,450.0,41.0
750.0,500.0,35.0
750.0,550.0,42.0
800.0,100.0,48.0
800.0,200.0,43.0
800.0,250.0,47.0
800.0,300.0,43.0
800.0,350.0,54.0
800.0,400.0,43.0
800.0,450.0,44.0
800.0,500.0,35.0
800.0,550.0,35.0
800.0,600.0,24.0
850.0,100.0,50.0
850.0,200.0,45.0
850.0,250.0,40.0
850.0,300.0,42.0
850.0,350.0,43.0
850.0,400.0,57.0
850.0,450.0,43.0
850.0,550.0,39.0
850.0,600.0,36.0
900.0,100.0,43.0
900.0,150.0,45.0
900.0,200.0,38.0
900.0,250.0,44.0
900.0,300.0,49.0
900.0,350.0,52.0
900.0,400.0,49.0
900.0,450.0,47.0
900.0,550.0,41.0
900.0,600.0,37.0
950.0,100.0,48.0
950.0,150.0,46.0
950.0,200.0,54.0
950.0,250.0,52.0
950.0,300.0,45.0
950.0,350.0,46.0
950.0,450.0,53.0
950.0,500.0,36.0
950.0,550.0,47.0

