#: table_doi: 10.17182/hepdata.79165.v2/t3
#: name: Acceptance 2
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRA450 signal region.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,1.0,20.47
1000.0,100.0,16.86
1000.0,150.0,18.75
1000.0,200.0,18.26
1000.0,250.0,17.26
1000.0,300.0,17.25
1000.0,350.0,16.33
1000.0,400.0,13.87
1000.0,450.0,13.43
1000.0,50.0,18.28
1000.0,500.0,9.97
1000.0,550.0,8.56
1050.0,1.0,21.11
1050.0,100.0,20.24
1050.0,150.0,20.31
1050.0,200.0,20.19
1050.0,300.0,18.49
1050.0,350.0,18.45
1050.0,400.0,16.41
1050.0,450.0,15.58
1050.0,50.0,20.18
1050.0,500.0,14.06
1050.0,550.0,11.18
1050.0,600.0,8.91
1100.0,1.0,21.72
1100.0,100.0,21.69
1100.0,150.0,22.32
1100.0,200.0,21.02
1100.0,250.0,20.3
1100.0,300.0,20.12
1100.0,350.0,18.8
1100.0,400.0,16.26
1100.0,450.0,17.55
1100.0,50.0,21.63
1100.0,500.0,16.2
1100.0,550.0,14.64
1150.0,1.0,22.71
1150.0,100.0,19.07
1150.0,150.0,22.49
1150.0,200.0,21.95
1150.0,250.0,22.29
1150.0,300.0,20.84
1150.0,350.0,19.32
1150.0,400.0,20.78
1150.0,450.0,18.78
1150.0,50.0,22.62
1150.0,500.0,18.06
1150.0,550.0,16.01
1150.0,600.0,13.46
1200.0,1.0,23.69
1200.0,100.0,23.24
1200.0,150.0,22.82
1200.0,200.0,22.85
1200.0,250.0,22.58
1200.0,300.0,22.53
1200.0,350.0,21.21
1200.0,400.0,21.32
1200.0,450.0,20.59
1200.0,50.0,22.84
1200.0,500.0,19.02
1200.0,550.0,18.29
1200.0,600.0,17.21
1250.0,1.0,23.65
1250.0,100.0,25.08
1250.0,150.0,23.86
1250.0,200.0,23.39
1250.0,250.0,22.6
1250.0,300.0,23.64
1250.0,350.0,22.8
1250.0,400.0,22.8
1250.0,450.0,21.31
1250.0,50.0,23.92
1250.0,500.0,19.84
1250.0,550.0,19.15
1250.0,600.0,18.15
1300.0,100.0,24.92
1300.0,150.0,23.5
1300.0,200.0,25.07
1300.0,250.0,25.2
1300.0,300.0,20.89
1300.0,350.0,23.59
1300.0,400.0,23.05
1300.0,450.0,22.71
1300.0,50.0,24.7
1300.0,500.0,22.17
1300.0,550.0,20.83
1300.0,600.0,19.45
250.0,200.0,0.0
250.0,230.0,0.0
250.0,245.0,0.0
300.0,100.0,0.0
300.0,150.0,0.0
300.0,230.0,0.0
300.0,250.0,0.0
300.0,280.0,0.0
300.0,295.0,0.0
350.0,150.0,0.0
350.0,250.0,0.0
350.0,300.0,0.0
350.0,330.0,0.0
350.0,345.0,0.0
400.0,1.0,0.03
400.0,100.0,0.01
400.0,150.0,0.01
400.0,200.0,0.0
400.0,300.0,0.0
400.0,350.0,0.0
400.0,380.0,0.0
400.0,395.0,0.0
425.0,325.0,0.0
425.0,375.0,0.0
425.0,405.0,0.0
450.0,150.0,0.03
450.0,200.0,0.01
450.0,300.0,0.0
450.0,350.0,0.0
450.0,400.0,0.0
450.0,430.0,0.0
450.0,445.0,0.0
475.0,375.0,0.0
475.0,425.0,0.0
475.0,455.0,0.0
475.0,470.0,0.0
500.0,1.0,0.96
500.0,100.0,0.46
500.0,150.0,0.2
500.0,200.0,0.06
500.0,250.0,0.01
