#: table_doi: 10.17182/hepdata.79165.v2/t9
#: name: Acceptance 8
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRA450 signal region.
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,100.0,4.26
1000.0,150.0,3.93
1000.0,200.0,4.12
1000.0,250.0,4.06
1000.0,300.0,4.11
1000.0,350.0,3.71
1000.0,450.0,3.58
1000.0,500.0,3.2
1050.0,100.0,4.24
1050.0,150.0,4.33
1050.0,200.0,4.26
1050.0,300.0,4.37
1050.0,350.0,4.04
1050.0,400.0,3.93
1050.0,450.0,3.95
1050.0,500.0,3.6
1050.0,550.0,3.39
1100.0,100.0,4.73
1100.0,150.0,4.67
1100.0,200.0,4.5
1100.0,250.0,4.45
1100.0,300.0,4.21
1100.0,350.0,4.31
1100.0,400.0,4.03
1100.0,450.0,3.68
1100.0,550.0,3.72
1150.0,100.0,4.73
1150.0,150.0,4.57
1150.0,200.0,4.78
1150.0,250.0,4.84
1150.0,300.0,4.59
1150.0,350.0,4.58
1150.0,400.0,4.63
1150.0,450.0,3.91
1150.0,500.0,4.17
1150.0,550.0,4.0
1200.0,150.0,4.47
1200.0,200.0,5.14
1200.0,250.0,4.62
1200.0,300.0,4.34
1200.0,350.0,4.47
1200.0,400.0,4.54
1200.0,450.0,4.16
1200.0,500.0,3.96
1200.0,550.0,3.85
1250.0,100.0,4.88
1250.0,150.0,4.84
1250.0,200.0,4.71
1250.0,250.0,4.88
1250.0,300.0,4.48
1250.0,350.0,4.72
1250.0,400.0,4.71
1250.0,450.0,4.53
1250.0,500.0,4.22
1250.0,550.0,4.44
1300.0,100.0,4.98
1300.0,150.0,5.0
1300.0,200.0,4.96
1300.0,250.0,4.8
1300.0,300.0,4.88
1300.0,350.0,4.39
1300.0,400.0,4.78
1300.0,450.0,4.27
1300.0,500.0,4.51
1300.0,550.0,4.51
300.0,100.0,0.05
400.0,100.0,0.4
400.0,150.0,0.24
450.0,150.0,0.49
450.0,200.0,0.28
500.0,100.0,1.48
500.0,200.0,0.98
500.0,250.0,0.62
500.0,300.0,0.23
550.0,100.0,1.9
550.0,200.0,1.51
550.0,250.0,1.14
550.0,300.0,0.68
600.0,100.0,2.33
600.0,150.0,2.08
600.0,200.0,1.96
600.0,300.0,1.24
600.0,350.0,0.69
600.0,400.0,0.29
650.0,150.0,2.45
650.0,200.0,2.42
650.0,250.0,2.11
650.0,300.0,1.66
650.0,350.0,1.2
650.0,400.0,0.76
650.0,450.0,0.27
700.0,100.0,3.13
700.0,150.0,2.93
700.0,200.0,2.54
700.0,250.0,2.51
700.0,300.0,2.27
700.0,350.0,1.85
700.0,400.0,1.4
700.0,450.0,0.83
700.0,500.0,0.29
750.0,100.0,3.3
750.0,150.0,3.08
750.0,200.0,2.74
750.0,250.0,2.67
750.0,300.0,2.54
750.0,350.0,2.41
750.0,400.0,1.91
750.0,450.0,1.29
750.0,500.0,0.77
750.0,550.0,0.28
800.0,100.0,3.62
800.0,200.0,3.06
800.0,250.0,3.07
800.0,300.0,2.92
800.0,350.0,2.46
800.0,400.0,2.33
800.0,450.0,1.87
800.0,500.0,1.42
800.0,550.0,0.84
800.0,600.0,0.28
850.0,100.0,3.7
850.0,200.0,3.67
850.0,250.0,3.59
850.0,300.0,3.31
850.0,350.0,3.1
850.0,400.0,2.44
850.0,450.0,2.3
850.0,550.0,1.67
850.0,600.0,0.91
900.0,100.0,4.09
900.0,150.0,4.19
900.0,200.0,3.74
900.0,250.0,3.77
900.0,300.0,4.04
900.0,350.0,3.11
900.0,400.0,2.96
900.0,450.0,2.97
900.0,550.0,2.05
900.0,600.0,1.66
950.0,100.0,4.05
950.0,150.0,4.16
950.0,200.0,3.85
950.0,250.0,3.73
950.0,300.0,3.56
950.0,350.0,3.8
950.0,450.0,3.27
950.0,500.0,3.11
950.0,550.0,2.47

