#: table_doi: 10.17182/hepdata.79165.v2/t64
#: name: Contour 35
#: description: Expected exclusion limit for A-HighMass combination for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data63.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
822.3,306.2
830.1,293.8
836.5,281.2
837.5,278.9
841.6,268.8
845.3,256.2
849.6,243.8
855.2,231.2
859.9,218.8
862.5,211.9
864.6,206.2
868.8,193.8
872.0,181.2
874.3,168.8
875.7,156.2
877.2,143.8
878.7,131.2
879.7,118.8
879.2,106.2
879.2,100.0
377.8,100.0
377.8,106.2
387.5,113.9
394.7,118.8
412.5,130.8
413.4,131.2
435.8,143.8
437.5,145.1
451.9,156.2
459.4,168.8
462.5,173.3
468.1,181.2
475.8,193.8
486.4,206.2
487.5,207.3
499.3,218.8
512.1,231.2
512.5,231.7
524.6,243.8
537.5,255.9
538.0,256.2
555.0,268.8
562.5,274.3
578.5,281.2
587.5,286.5
602.6,293.8
612.5,298.3
629.5,306.2
637.5,309.2
657.8,318.8
662.5,321.0
684.6,331.2
687.5,333.0
712.5,338.1
737.5,340.4
762.5,335.8
774.2,331.2
787.5,324.9
805.0,318.8
812.5,315.0
822.3,306.2

