#: table_doi: 10.17182/hepdata.79165.v2/t29
#: name: Best SR 4
#: description: b0L signal region with best expected exclusion limit in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino.
#: data_file: data28.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],Best expected SR
1000.0,1.0,b0L-A550
1000.0,100.0,b0L-A550
1000.0,150.0,b0L-A550
1000.0,200.0,b0L-A550
1000.0,250.0,b0L-A550
1000.0,300.0,b0L-A550
1000.0,350.0,b0L-A550
1000.0,400.0,b0L-A550
1000.0,450.0,b0L-A550
1000.0,50.0,b0L-A550
1000.0,500.0,b0L-A450
1000.0,550.0,b0L-A450
1050.0,1.0,b0L-A550
1050.0,100.0,b0L-A550
1050.0,150.0,b0L-A550
1050.0,200.0,b0L-A550
1050.0,300.0,b0L-A550
1050.0,350.0,b0L-A550
1050.0,400.0,b0L-A550
1050.0,450.0,b0L-A550
1050.0,50.0,b0L-A550
1050.0,500.0,b0L-A550
1050.0,550.0,b0L-A450
1050.0,600.0,b0L-A450
1100.0,1.0,b0L-A550
1100.0,100.0,b0L-A550
1100.0,150.0,b0L-A550
1100.0,200.0,b0L-A550
1100.0,250.0,b0L-A550
1100.0,300.0,b0L-A550
1100.0,350.0,b0L-A550
1100.0,400.0,b0L-A550
1100.0,450.0,b0L-A550
1100.0,50.0,b0L-A550
1100.0,500.0,b0L-A550
1100.0,550.0,b0L-A550
1150.0,1.0,b0L-A550
1150.0,100.0,b0L-A550
1150.0,150.0,b0L-A550
1150.0,200.0,b0L-A550
1150.0,250.0,b0L-A550
1150.0,300.0,b0L-A550
1150.0,350.0,b0L-A550
1150.0,400.0,b0L-A550
1150.0,450.0,b0L-A550
1150.0,50.0,b0L-A550
1150.0,500.0,b0L-A550
1150.0,550.0,b0L-A550
1150.0,600.0,b0L-A550
1200.0,1.0,b0L-A550
1200.0,100.0,b0L-A550
1200.0,150.0,b0L-A550
1200.0,200.0,b0L-A550
1200.0,250.0,b0L-A550
1200.0,300.0,b0L-A550
1200.0,350.0,b0L-A550
1200.0,400.0,b0L-A550
1200.0,450.0,b0L-A550
1200.0,50.0,b0L-A550
1200.0,500.0,b0L-A550
1200.0,550.0,b0L-A550
1200.0,600.0,b0L-A550
1250.0,1.0,b0L-A550
1250.0,100.0,b0L-A550
1250.0,150.0,b0L-A550
1250.0,200.0,b0L-A550
1250.0,250.0,b0L-A550
1250.0,300.0,b0L-A550
1250.0,350.0,b0L-A550
1250.0,400.0,b0L-A550
1250.0,450.0,b0L-A550
1250.0,50.0,b0L-A550
1250.0,500.0,b0L-A550
1250.0,550.0,b0L-A550
1250.0,600.0,b0L-A550
1300.0,100.0,b0L-A550
1300.0,150.0,b0L-A550
1300.0,200.0,b0L-A550
1300.0,250.0,b0L-A550
1300.0,300.0,b0L-A550
1300.0,350.0,b0L-A550
1300.0,400.0,b0L-A550
1300.0,450.0,b0L-A550
1300.0,50.0,b0L-A550
1300.0,500.0,b0L-A550
1300.0,550.0,b0L-A550
1300.0,600.0,b0L-A550
250.0,150.0,b0L-B
250.0,200.0,b0L-C
250.0,230.0,b0L-C
250.0,245.0,b0L-C
300.0,100.0,b0L-B
300.0,150.0,b0L-B
300.0,230.0,b0L-C
300.0,250.0,b0L-C
300.0,280.0,b0L-C
300.0,295.0,b0L-C
350.0,150.0,b0L-B
350.0,250.0,b0L-B
350.0,300.0,b0L-C
350.0,330.0,b0L-C
350.0,345.0,b0L-C
400.0,1.0,b0L-B
400.0,100.0,b0L-B
400.0,150.0,b0L-B
400.0,200.0,b0L-B
400.0,300.0,b0L-B
400.0,350.0,b0L-C
400.0,380.0,b0L-C
400.0,395.0,b0L-C
425.0,325.0,b0L-B
425.0,375.0,b0L-C
425.0,405.0,b0L-C
450.0,150.0,b0L-B
450.0,200.0,b0L-B
450.0,300.0,b0L-B
450.0,350.0,b0L-B
450.0,400.0,b0L-C
450.0,430.0,b0L-C
450.0,445.0,b0L-C
475.0,375.0,b0L-B
475.0,425.0,b0L-C
475.0,455.0,b0L-C
475.0,470.0,b0L-A550
500.0,1.0,b0L-A350
500.0,100.0,b0L-A350
500.0,150.0,b0L-A350
500.0,200.0,b0L-A350
500.0,250.0,b0L-B
500.0,300.0,b0L-B
500.0,350.0,b0L-B
500.0,400.0,b0L-B
500.0,450.0,b0L-C
500.0,480.0,b0L-C
500.0,495.0,b0L-B
550.0,1.0,b0L-A350
550.0,100.0,b0L-A350
550.0,200.0,b0L-A350
550.0,250.0,b0L-A350
550.0,300.0,b0L-B
550.0,350.0,b0L-B
550.0,400.0,b0L-B
550.0,450.0,b0L-B
550.0,500.0,b0L-C
550.0,530.0,b0L-C
550.0,545.0,b0L-C
600.0,1.0,b0L-A350
600.0,100.0,b0L-A350
600.0,150.0,b0L-A350
600.0,200.0,b0L-A350
600.0,250.0,b0L-A350
600.0,300.0,b0L-A350
600.0,350.0,b0L-B
600.0,400.0,b0L-B
600.0,450.0,b0L-B
600.0,500.0,b0L-C
600.0,550.0,b0L-C
600.0,580.0,b0L-C
600.0,595.0,b0L-C
650.0,1.0,b0L-A450
650.0,100.0,b0L-A350
650.0,150.0,b0L-A350
650.0,200.0,b0L-A350
650.0,250.0,b0L-A350
650.0,300.0,b0L-A350
650.0,350.0,b0L-A350
650.0,400.0,b0L-B
650.0,450.0,b0L-B
650.0,500.0,b0L-B
650.0,550.0,b0L-B
650.0,600.0,b0L-C
700.0,1.0,b0L-A450
700.0,100.0,b0L-A450
700.0,150.0,b0L-A450
700.0,200.0,b0L-A450
700.0,250.0,b0L-A350
700.0,300.0,b0L-A350
700.0,350.0,b0L-A350
700.0,400.0,b0L-A350
700.0,450.0,b0L-B
700.0,500.0,b0L-B
700.0,550.0,b0L-B
700.0,600.0,b0L-B
750.0,1.0,b0L-A450
750.0,100.0,b0L-A450
750.0,150.0,b0L-A450
750.0,200.0,b0L-A450
750.0,250.0,b0L-A450
750.0,300.0,b0L-A350
750.0,350.0,b0L-A350
750.0,400.0,b0L-A350
750.0,450.0,b0L-A350
750.0,500.0,b0L-B
750.0,550.0,b0L-B
750.0,600.0,b0L-B
800.0,1.0,b0L-A550
800.0,100.0,b0L-A450
800.0,200.0,b0L-A450
800.0,250.0,b0L-A450
800.0,300.0,b0L-A450
800.0,350.0,b0L-A450
800.0,400.0,b0L-A350
800.0,450.0,b0L-A350
800.0,50.0,b0L-A450
800.0,500.0,b0L-A350
800.0,550.0,b0L-B
800.0,600.0,b0L-B
850.0,1.0,b0L-A550
850.0,100.0,b0L-A550
850.0,150.0,b0L-A450
850.0,200.0,b0L-A450
850.0,250.0,b0L-A450
850.0,300.0,b0L-A450
850.0,350.0,b0L-A450
850.0,400.0,b0L-A450
850.0,450.0,b0L-A350
850.0,50.0,b0L-A550
850.0,500.0,b0L-A350
850.0,550.0,b0L-A350
850.0,600.0,b0L-B
900.0,1.0,b0L-A550
900.0,100.0,b0L-A550
900.0,150.0,b0L-A550
900.0,200.0,b0L-A550
900.0,250.0,b0L-A550
900.0,300.0,b0L-A550
900.0,350.0,b0L-A450
900.0,400.0,b0L-A450
900.0,450.0,b0L-A450
900.0,50.0,b0L-A550
900.0,500.0,b0L-A450
900.0,550.0,b0L-A350
900.0,600.0,b0L-A350
950.0,1.0,b0L-A550
950.0,100.0,b0L-A550
950.0,150.0,b0L-A550
950.0,200.0,b0L-A550
950.0,250.0,b0L-A550
950.0,300.0,b0L-A550
950.0,350.0,b0L-A550
950.0,400.0,b0L-A450
950.0,450.0,b0L-A450
950.0,50.0,b0L-A550
950.0,500.0,b0L-A450
950.0,550.0,b0L-A450

