#: table_doi: 10.17182/hepdata.79165.v2/t67
#: name: Contour 38
#: description: Observed exclusion limit for B combination for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data66.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
490.9,281.2
496.3,268.8
499.4,261.7
519.8,256.2
525.6,254.7
543.3,243.8
550.8,231.2
551.9,227.5
555.4,218.8
560.2,206.2
566.2,193.8
573.2,181.2
578.1,172.2
580.0,168.8
587.0,156.2
589.5,143.8
589.0,131.2
585.5,118.8
581.1,106.2
581.1,100.0
297.7,100.0
297.7,106.2
289.4,109.7
282.8,112.8
465.2,295.2
472.6,293.8
473.1,293.6
490.9,281.2

