#: table_doi: 10.17182/hepdata.79165.v2/t11
#: name: Acceptance 10
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino, for the b1L-SRA750 signal region.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,100.0,3.99
1000.0,150.0,3.61
1000.0,200.0,3.85
1000.0,250.0,3.72
1000.0,300.0,3.77
1000.0,350.0,3.49
1000.0,450.0,3.15
1000.0,500.0,2.73
1050.0,100.0,4.02
1050.0,150.0,4.13
1050.0,200.0,4.07
1050.0,300.0,4.03
1050.0,350.0,3.72
1050.0,400.0,3.53
1050.0,450.0,3.56
1050.0,500.0,3.13
1050.0,550.0,2.73
1100.0,100.0,4.55
1100.0,150.0,4.49
1100.0,200.0,4.24
1100.0,250.0,4.22
1100.0,300.0,3.96
1100.0,350.0,4.01
1100.0,400.0,3.75
1100.0,450.0,3.38
1100.0,550.0,3.26
1150.0,100.0,4.53
1150.0,150.0,4.39
1150.0,200.0,4.58
1150.0,250.0,4.65
1150.0,300.0,4.38
1150.0,350.0,4.3
1150.0,400.0,4.32
1150.0,450.0,3.67
1150.0,500.0,3.93
1150.0,550.0,3.67
1200.0,150.0,4.3
1200.0,200.0,4.97
1200.0,250.0,4.45
1200.0,300.0,4.24
1200.0,350.0,4.33
1200.0,400.0,4.34
1200.0,450.0,3.97
1200.0,500.0,3.69
1200.0,550.0,3.6
1250.0,100.0,4.72
1250.0,150.0,4.72
1250.0,200.0,4.6
1250.0,250.0,4.71
1250.0,300.0,4.32
1250.0,350.0,4.53
1250.0,400.0,4.55
1250.0,450.0,4.28
1250.0,500.0,4.12
1250.0,550.0,4.16
1300.0,100.0,4.87
1300.0,150.0,4.89
1300.0,200.0,4.84
1300.0,250.0,4.68
1300.0,300.0,4.78
1300.0,350.0,4.23
1300.0,400.0,4.59
1300.0,450.0,4.08
1300.0,500.0,4.27
1300.0,550.0,4.24
300.0,100.0,0.01
400.0,100.0,0.14
400.0,150.0,0.08
450.0,150.0,0.19
450.0,200.0,0.11
500.0,100.0,0.8
500.0,200.0,0.4
500.0,250.0,0.24
500.0,300.0,0.09
550.0,100.0,1.2
550.0,200.0,0.8
550.0,250.0,0.5
550.0,300.0,0.27
600.0,100.0,1.65
600.0,150.0,1.39
600.0,200.0,1.21
600.0,300.0,0.58
600.0,350.0,0.29
600.0,400.0,0.13
650.0,150.0,1.83
650.0,200.0,1.72
650.0,250.0,1.39
650.0,300.0,0.93
650.0,350.0,0.6
650.0,400.0,0.35
650.0,450.0,0.12
700.0,100.0,2.58
700.0,150.0,2.35
700.0,200.0,1.88
700.0,250.0,1.85
700.0,300.0,1.51
700.0,350.0,1.14
700.0,400.0,0.7
700.0,450.0,0.38
700.0,500.0,0.13
750.0,100.0,2.79
750.0,150.0,2.54
750.0,200.0,2.32
750.0,250.0,2.11
750.0,300.0,1.88
750.0,350.0,1.74
750.0,400.0,1.16
750.0,450.0,0.68
750.0,500.0,0.36
750.0,550.0,0.1
800.0,100.0,3.08
800.0,200.0,2.56
800.0,250.0,2.59
800.0,300.0,2.37
800.0,350.0,1.94
800.0,400.0,1.69
800.0,450.0,1.18
800.0,500.0,0.81
800.0,550.0,0.36
800.0,600.0,0.13
850.0,100.0,3.29
850.0,200.0,3.28
850.0,250.0,3.12
850.0,300.0,2.7
850.0,350.0,2.51
850.0,400.0,1.86
850.0,450.0,1.77
850.0,550.0,0.95
850.0,600.0,0.38
900.0,100.0,3.83
900.0,150.0,3.77
900.0,200.0,3.42
900.0,250.0,3.28
900.0,300.0,3.54
900.0,350.0,2.7
900.0,400.0,2.44
900.0,450.0,2.4
900.0,550.0,1.31
900.0,600.0,0.88
950.0,100.0,3.85
950.0,150.0,3.82
950.0,200.0,3.43
950.0,250.0,3.38
950.0,300.0,3.24
950.0,350.0,3.36
950.0,450.0,2.72
950.0,500.0,2.53
950.0,550.0,1.84

