#: table_doi: 10.17182/hepdata.79165.v2/t82
#: name: Limit on cross section 7
#: description: Cross section excluded at 95% CL for best b0L SR as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data93.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.021
1000.0,150.0,0.02372
1000.0,200.0,0.02234
1000.0,250.0,0.02057
1000.0,300.0,0.01997
1000.0,350.0,0.02899
1000.0,450.0,0.03049
1000.0,500.0,0.03413
1050.0,100.0,0.02314
1050.0,150.0,0.02231
1050.0,200.0,0.02097
1050.0,300.0,0.0228
1050.0,350.0,0.02212
1050.0,400.0,0.02472
1050.0,450.0,0.02786
1050.0,500.0,0.02658
1050.0,550.0,0.03104
1100.0,100.0,0.02121
1100.0,150.0,0.0206
1100.0,200.0,0.02075
1100.0,250.0,0.02278
1100.0,300.0,0.02119
1100.0,350.0,0.02177
1100.0,400.0,0.02488
1100.0,450.0,0.02213
1100.0,500.0,0.02635
1100.0,550.0,0.0456
1150.0,100.0,0.02003
1150.0,150.0,0.02257
1150.0,200.0,0.04386
1150.0,250.0,0.0195
1150.0,300.0,0.02255
1150.0,350.0,0.02287
1150.0,400.0,0.0185
1150.0,450.0,0.02415
1150.0,500.0,0.02338
1150.0,550.0,0.02589
1200.0,150.0,0.01739
1200.0,200.0,0.02414
1200.0,250.0,0.02087
1200.0,300.0,0.02118
1200.0,350.0,0.02088
1200.0,400.0,0.02009
1200.0,450.0,0.04087
1200.0,500.0,0.02205
1200.0,550.0,0.03872
1250.0,100.0,0.01774
1250.0,150.0,0.02015
1250.0,200.0,0.02017
1250.0,250.0,0.02095
1250.0,300.0,0.03834
1250.0,350.0,0.02009
1250.0,400.0,0.01892
1250.0,450.0,0.02062
1250.0,500.0,0.02042
1250.0,550.0,0.02114
1300.0,100.0,0.0211
1300.0,150.0,0.01936
1300.0,200.0,0.01845
1300.0,250.0,0.02185
1300.0,300.0,0.01949
1300.0,350.0,0.01916
1300.0,400.0,0.02012
1300.0,450.0,0.01979
1300.0,500.0,0.01931
1300.0,550.0,0.02062
400.0,100.0,0.6439
400.0,150.0,0.7466
450.0,150.0,0.7132
450.0,200.0,0.5783
500.0,100.0,0.1641
500.0,200.0,0.4089
500.0,250.0,0.4991
500.0,300.0,0.5978
550.0,100.0,0.1022
550.0,200.0,0.1765
550.0,250.0,0.3436
550.0,300.0,0.3947
600.0,100.0,0.07326
600.0,150.0,0.0828
600.0,200.0,0.1843
600.0,250.0,0.1419
600.0,300.0,0.24
600.0,350.0,0.364
600.0,400.0,0.5501
650.0,150.0,0.06034
650.0,200.0,0.0721
650.0,250.0,0.08761
650.0,300.0,0.1214
650.0,350.0,0.2434
650.0,400.0,0.3222
650.0,450.0,0.4983
700.0,100.0,0.03944
700.0,150.0,0.0412
700.0,200.0,0.0504
700.0,250.0,0.06614
700.0,300.0,0.1051
700.0,350.0,0.1147
700.0,400.0,0.2085
700.0,450.0,0.339
700.0,500.0,0.4475
750.0,100.0,0.03606
750.0,150.0,0.04724
750.0,200.0,0.03867
750.0,250.0,0.04096
750.0,300.0,0.05791
750.0,350.0,0.07407
750.0,400.0,0.115
750.0,450.0,0.3867
750.0,500.0,0.2597
750.0,550.0,0.4119
800.0,100.0,0.04503
800.0,200.0,0.04693
800.0,250.0,0.04891
800.0,300.0,0.04543
800.0,350.0,0.06041
800.0,400.0,0.07234
800.0,450.0,0.09571
800.0,500.0,0.1756
800.0,550.0,0.3064
800.0,600.0,0.5512
850.0,100.0,0.02562
850.0,150.0,0.02574
850.0,200.0,0.02624
850.0,250.0,0.03118
850.0,300.0,0.03549
850.0,350.0,0.03857
850.0,400.0,0.05057
850.0,450.0,0.07294
850.0,550.0,0.1779
850.0,600.0,0.3111
900.0,100.0,0.02235
900.0,150.0,0.02499
900.0,200.0,0.02438
900.0,250.0,0.02849
900.0,300.0,0.02838
900.0,350.0,0.03239
900.0,400.0,0.03616
900.0,450.0,0.04592
900.0,550.0,0.08963
900.0,600.0,0.1615
950.0,100.0,0.02503
950.0,150.0,0.02131
950.0,200.0,0.02407
950.0,250.0,0.02574
950.0,300.0,0.0245
950.0,350.0,0.02634
950.0,400.0,0.02608
950.0,450.0,0.037
950.0,500.0,0.04315
950.0,550.0,0.06654

