#: table_doi: 10.17182/hepdata.79165.v2/t43
#: name: Contour 14
#: description: Observed exclusion limit for b0L-SRB for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data42.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
494.4,281.2
497.9,268.8
499.4,263.4
506.4,256.2
519.0,243.8
525.6,238.4
531.4,231.2
536.9,218.8
540.5,206.2
547.0,193.8
551.9,188.1
558.1,181.2
569.6,168.8
578.1,159.5
581.1,156.2
582.1,143.8
578.1,134.0
576.6,131.2
566.7,118.8
559.4,106.2
559.4,100.0
297.3,100.0
297.3,106.2
282.4,112.4
467.5,297.5
473.1,297.8
489.1,293.8
494.4,281.2

