#: table_doi: 10.17182/hepdata.79165.v2/t37
#: name: Contour 8
#: description: Observed exclusion limit for b0L-SRA450 for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data36.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
762.8,243.8
767.6,231.2
771.8,218.8
776.4,206.2
779.8,193.8
782.8,181.2
785.1,168.8
787.3,156.2
787.5,154.8
789.0,143.8
790.4,131.2
791.7,118.8
792.7,106.2
792.7,100.0
515.6,100.0
515.6,106.2
530.3,118.8
537.5,124.7
545.3,131.2
560.3,143.8
562.5,145.8
573.6,156.2
585.1,168.8
587.5,172.2
594.4,181.2
604.0,193.8
612.5,205.1
613.9,206.2
630.1,218.8
637.5,225.6
647.4,231.2
662.5,239.8
675.2,243.8
687.5,247.8
712.5,253.9
728.4,256.2
737.5,257.6
741.8,256.2
762.5,244.2
762.8,243.8

