#: table_doi: 10.17182/hepdata.79165.v2/t5
#: name: Acceptance 4
#: description: Signal acceptance (in %) in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the symmetric decay of the sbottom into bottom quark and neutralino, for the b0L-SRB signal region.
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],ACCEPTANCE [PCT]
1000.0,1.0,2.08
1000.0,100.0,2.15
1000.0,150.0,2.47
1000.0,200.0,2.4
1000.0,250.0,2.25
1000.0,300.0,2.11
1000.0,350.0,2.53
1000.0,400.0,2.32
1000.0,450.0,2.32
1000.0,50.0,2.3
1000.0,500.0,2.22
1000.0,550.0,1.98
1050.0,1.0,2.26
1050.0,100.0,2.37
1050.0,150.0,2.5
1050.0,200.0,2.36
1050.0,300.0,2.97
1050.0,350.0,2.32
1050.0,400.0,2.27
1050.0,450.0,2.52
1050.0,50.0,2.19
1050.0,500.0,2.03
1050.0,550.0,2.0
1050.0,600.0,1.87
1100.0,1.0,2.57
1100.0,100.0,2.65
1100.0,150.0,2.73
1100.0,200.0,2.68
1100.0,250.0,2.71
1100.0,300.0,2.18
1100.0,350.0,2.47
1100.0,400.0,2.07
1100.0,450.0,2.65
1100.0,50.0,2.45
1100.0,500.0,1.62
1100.0,550.0,2.19
1150.0,1.0,2.58
1150.0,100.0,2.44
1150.0,150.0,2.88
1150.0,200.0,2.2
1150.0,250.0,2.18
1150.0,300.0,2.37
1150.0,350.0,2.02
1150.0,400.0,2.44
1150.0,450.0,2.51
1150.0,50.0,2.94
1150.0,500.0,2.49
1150.0,550.0,2.24
1150.0,600.0,2.16
1200.0,1.0,2.68
1200.0,100.0,2.51
1200.0,150.0,2.34
1200.0,200.0,2.31
1200.0,250.0,2.56
1200.0,300.0,2.5
1200.0,350.0,2.42
1200.0,400.0,2.39
1200.0,450.0,2.67
1200.0,50.0,2.44
1200.0,500.0,2.41
1200.0,550.0,2.69
1200.0,600.0,2.43
1250.0,1.0,2.29
1250.0,100.0,2.84
1250.0,150.0,2.68
1250.0,200.0,2.39
1250.0,250.0,2.67
1250.0,300.0,2.64
1250.0,350.0,2.94
1250.0,400.0,2.84
1250.0,450.0,2.5
1250.0,50.0,3.06
1250.0,500.0,2.6
1250.0,550.0,2.51
1250.0,600.0,2.57
1300.0,100.0,2.67
1300.0,150.0,2.64
1300.0,200.0,2.48
1300.0,250.0,2.64
1300.0,300.0,2.56
1300.0,350.0,2.71
1300.0,400.0,2.44
1300.0,450.0,2.49
1300.0,50.0,2.81
1300.0,500.0,2.6
1300.0,550.0,2.43
1300.0,600.0,2.32
250.0,200.0,0.01
250.0,230.0,0.0
250.0,245.0,0.0
300.0,100.0,0.22
300.0,150.0,0.15
300.0,230.0,0.03
300.0,250.0,0.01
300.0,280.0,0.0
300.0,295.0,0.0
350.0,150.0,0.36
350.0,250.0,0.1
350.0,300.0,0.01
350.0,330.0,0.0
350.0,345.0,0.0
400.0,1.0,0.73
400.0,100.0,0.65
400.0,150.0,0.61
400.0,200.0,0.46
400.0,300.0,0.14
400.0,350.0,0.03
400.0,380.0,0.0
400.0,395.0,0.0
425.0,325.0,0.16
425.0,375.0,0.02
425.0,405.0,0.0
450.0,150.0,0.77
450.0,200.0,0.75
450.0,300.0,0.45
450.0,350.0,0.17
450.0,400.0,0.02
450.0,430.0,0.0
450.0,445.0,0.0
475.0,375.0,0.2
475.0,425.0,0.03
475.0,455.0,0.0
475.0,470.0,0.0
500.0,1.0,1.19
500.0,100.0,1.11
500.0,150.0,1.04
500.0,200.0,0.88
500.0,250.0,0.86
500.0,300.0,0.61
500.0,350.0,0.48
500.0,400.0,0.2
500.0,450.0,0.02
500.0,480.0,0.0
500.0,495.0,0.0
550.0,1.0,1.41
550.0,100.0,1.35
550.0,200.0,1.07
550.0,250.0,1.09
550.0,300.0,0.97
550.0,350.0,0.78
550.0,400.0,0.52
550.0,450.0,0.24
550.0,500.0,0.04
550.0,530.0,0.0
550.0,545.0,0.0
600.0,1.0,1.43
600.0,100.0,1.33
600.0,150.0,1.33
600.0,200.0,1.36
600.0,300.0,1.08
600.0,350.0,1.06
600.0,400.0,0.89
600.0,450.0,0.55
600.0,500.0,0.28
600.0,550.0,0.04
600.0,580.0,0.0
600.0,595.0,0.0
650.0,1.0,1.75
650.0,100.0,1.55
650.0,150.0,1.43
650.0,200.0,1.72
650.0,250.0,1.63
650.0,300.0,1.27
650.0,350.0,1.29
650.0,400.0,1.12
650.0,450.0,0.86
650.0,500.0,0.75
650.0,550.0,0.37
650.0,600.0,0.05
700.0,1.0,1.95
700.0,100.0,1.87
700.0,150.0,1.54
700.0,200.0,1.83
700.0,250.0,1.54
700.0,300.0,1.66
700.0,350.0,1.39
700.0,400.0,1.23
700.0,450.0,1.21
700.0,500.0,1.02
700.0,550.0,0.62
700.0,600.0,0.38
750.0,1.0,1.85
750.0,100.0,1.86
750.0,150.0,1.41
750.0,200.0,1.72
750.0,250.0,1.6
750.0,300.0,1.67
750.0,350.0,1.79
750.0,400.0,1.56
750.0,450.0,1.32
750.0,500.0,1.3
750.0,550.0,1.1
750.0,600.0,0.8
800.0,1.0,1.93
800.0,100.0,1.93
800.0,200.0,1.97
800.0,250.0,2.08
800.0,300.0,1.8
800.0,350.0,1.95
800.0,400.0,1.51
800.0,450.0,1.52
800.0,50.0,1.99
800.0,500.0,1.38
800.0,550.0,1.45
800.0,600.0,0.95
850.0,1.0,1.96
850.0,100.0,1.69
850.0,200.0,1.59
850.0,250.0,2.47
850.0,300.0,2.24
850.0,350.0,2.27
850.0,400.0,1.88
850.0,450.0,1.7
850.0,50.0,1.99
850.0,500.0,1.56
850.0,550.0,1.86
850.0,600.0,1.56
900.0,1.0,2.32
900.0,100.0,2.26
900.0,150.0,2.41
900.0,200.0,2.29
900.0,250.0,2.01
900.0,300.0,1.88
900.0,350.0,1.73
900.0,400.0,1.89
900.0,450.0,1.76
900.0,50.0,2.27
900.0,500.0,2.15
900.0,550.0,1.73
900.0,600.0,1.39
950.0,1.0,2.06
950.0,100.0,2.13
950.0,150.0,2.4
950.0,200.0,2.61
950.0,250.0,2.08
950.0,300.0,2.22
950.0,350.0,2.1
950.0,400.0,2.02
950.0,450.0,2.02
950.0,50.0,2.2
950.0,500.0,1.55
950.0,550.0,1.78

