#: table_doi: 10.17182/hepdata.79165.v2/t40
#: name: Contour 11
#: description: Expected exclusion limit for b0L-SRB for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data39.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
374.0,0.0
374.0,8.488
374.0,23.46
368.1,26.79
347.7,38.44
347.7,53.41
341.9,56.74
321.5,68.39
321.5,83.36
315.6,86.69
295.2,98.34
289.4,101.7
269.1,113.3
269.1,128.3
263.1,131.9
236.9,131.9
216.9,143.3
217.6,158.2
219.5,173.2
222.8,188.2
227.3,203.2
236.9,215.2
263.1,215.2
268.2,218.1
289.4,232.3
290.3,233.1
303.9,248.1
315.6,259.4
319.1,263.1
340.8,278.0
341.9,278.7
360.1,293.0
368.1,300.9
375.0,308.0
391.1,323.0
394.4,327.0
404.6,337.9
420.6,350.5
425.7,352.9
446.9,366.3
449.0,367.9
467.4,382.9
473.1,387.1
489.5,397.8
499.4,403.8
525.6,412.8
525.7,412.8
541.2,427.8
551.9,438.1
574.2,442.8
578.1,443.7
604.4,443.4
605.7,442.8
630.6,431.9
640.1,427.8
656.9,420.5
664.1,412.8
668.1,397.8
664.1,382.9
660.1,367.9
656.9,355.8
656.2,352.9
656.9,347.0
658.1,337.9
660.9,323.0
663.8,308.0
666.9,293.0
670.1,278.0
672.4,263.1
673.4,248.1
670.8,233.1
667.7,218.1
664.7,203.2
662.0,188.2
657.9,173.2
656.9,170.0
654.8,158.2
656.1,143.3
656.9,140.5
664.0,128.3
675.3,113.3
683.1,99.77
683.8,98.34
683.1,95.01
680.3,83.36
676.6,68.39
670.7,53.41
666.1,38.44
662.6,23.46
658.8,8.488
658.8,0.0

