#: table_doi: 10.17182/hepdata.79165.v2/t85
#: name: Limit on cross section 10
#: description: Cross section excluded at 95% CL for b0L-SRB as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data83.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.1695
1000.0,150.0,0.1767
1000.0,200.0,0.1967
1000.0,250.0,0.1624
1000.0,300.0,0.1941
1000.0,350.0,0.1681
1000.0,450.0,0.1909
1000.0,500.0,0.2301
1050.0,100.0,0.2305
1050.0,150.0,0.2078
1050.0,200.0,0.1931
1050.0,300.0,0.1377
1050.0,350.0,0.1762
1050.0,400.0,0.1322
1050.0,450.0,0.1885
1050.0,500.0,0.1979
1050.0,550.0,0.2503
1100.0,100.0,0.1689
1100.0,150.0,0.1646
1100.0,200.0,0.1784
1100.0,300.0,0.1849
1100.0,350.0,0.196
1100.0,400.0,0.2021
1100.0,450.0,0.1627
1100.0,500.0,0.1606
1100.0,550.0,0.1905
1150.0,100.0,0.1759
1150.0,150.0,0.1424
1150.0,200.0,0.1518
1150.0,300.0,0.1703
1150.0,350.0,0.1895
1150.0,400.0,0.1627
1150.0,450.0,0.1788
1150.0,500.0,0.163
1150.0,550.0,0.1405
1200.0,150.0,0.1951
1200.0,200.0,0.211
1200.0,250.0,0.1839
1200.0,350.0,0.1886
1200.0,450.0,0.2045
1200.0,550.0,0.1592
400.0,100.0,0.6439
400.0,150.0,0.7466
450.0,200.0,0.5783
500.0,100.0,0.3047
500.0,200.0,0.4089
500.0,250.0,0.4991
500.0,300.0,0.5978
550.0,100.0,0.2816
550.0,200.0,0.3134
550.0,250.0,0.3436
550.0,300.0,0.3947
600.0,100.0,0.2706
600.0,150.0,0.1885
600.0,200.0,0.2501
600.0,250.0,0.2738
600.0,300.0,0.3583
600.0,350.0,0.364
600.0,400.0,0.5501
650.0,150.0,0.2373
650.0,200.0,0.2291
650.0,250.0,0.2166
650.0,300.0,0.2531
650.0,350.0,0.3338
650.0,400.0,0.3222
650.0,450.0,0.4983
700.0,100.0,0.1806
700.0,150.0,0.2148
700.0,200.0,0.2151
700.0,250.0,0.1971
700.0,300.0,0.2445
700.0,350.0,0.2764
700.0,400.0,0.2994
700.0,450.0,0.339
700.0,500.0,0.4475
750.0,100.0,0.1793
750.0,150.0,0.1869
750.0,200.0,0.1803
750.0,300.0,0.1974
750.0,350.0,0.1802
750.0,400.0,0.2494
750.0,450.0,0.3867
750.0,500.0,0.2597
750.0,550.0,0.4119
800.0,100.0,0.1905
800.0,200.0,0.1661
800.0,250.0,0.181
800.0,300.0,0.2326
800.0,350.0,0.1837
800.0,400.0,0.2142
800.0,450.0,0.1929
800.0,500.0,0.2403
800.0,550.0,0.3064
800.0,600.0,0.5512
850.0,100.0,0.1666
850.0,150.0,0.1524
850.0,250.0,0.1809
850.0,350.0,0.2168
850.0,400.0,0.2228
850.0,450.0,0.2219
850.0,550.0,0.2102
850.0,600.0,0.3111
900.0,100.0,0.1737
900.0,150.0,0.1593
900.0,250.0,0.1583
900.0,300.0,0.1642
900.0,350.0,0.2112
900.0,400.0,0.2054
900.0,450.0,0.2136
900.0,550.0,0.2118
900.0,600.0,0.1807
950.0,150.0,0.1786
950.0,200.0,0.1559
950.0,250.0,0.2385
950.0,300.0,0.1934
950.0,350.0,0.1564
950.0,450.0,0.1346
950.0,500.0,0.2427
950.0,550.0,0.2254

