#: table_doi: 10.17182/hepdata.79165.v2/t78
#: name: Limit on cross section 3
#: description: Cross section excluded at 95% CL for b0L-SRA450 as a function of the sbottom and neutralino masses, for a pair produced sbottom with symmetric decay into a bottom and a neutralino.
#: data_file: data77.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.008743
1000.0,1.0,0.008675
1000.0,150.0,0.009622
1000.0,200.0,0.008543
1000.0,300.0,0.007507
1000.0,350.0,0.009933
1000.0,400.0,0.009881
1000.0,500.0,0.01099
1000.0,50.0,0.009368
1000.0,550.0,0.01444
1050.0,100.0,0.009731
1050.0,1.0,0.009481
1050.0,200.0,0.009117
1050.0,300.0,0.009131
1050.0,350.0,0.008643
1050.0,400.0,0.009782
1050.0,450.0,0.009806
1050.0,500.0,0.009607
1050.0,550.0,0.01048
1050.0,600.0,0.01319
1100.0,100.0,0.008985
1100.0,1.0,0.008433
1100.0,150.0,0.008463
1100.0,250.0,0.009871
1100.0,300.0,0.00884
1100.0,350.0,0.009699
1100.0,400.0,0.009427
1100.0,450.0,0.008976
1100.0,500.0,0.009497
1100.0,50.0,0.009875
1150.0,100.0,0.009793
1150.0,1.0,0.009698
1150.0,150.0,0.01064
1150.0,200.0,0.008923
1150.0,350.0,0.009191
1150.0,400.0,0.008629
1150.0,450.0,0.009505
1150.0,500.0,0.008822
1150.0,550.0,0.009745
1150.0,600.0,0.01015
1200.0,100.0,0.009732
1200.0,1.0,0.009305
1200.0,150.0,0.009458
1200.0,200.0,0.0118
1200.0,300.0,0.01051
1200.0,350.0,0.00984
1200.0,400.0,0.008016
1200.0,50.0,0.009254
1200.0,550.0,0.008629
1200.0,600.0,0.009828
1250.0,100.0,0.008428
1250.0,1.0,0.009741
1250.0,150.0,0.01064
1250.0,200.0,0.01019
1250.0,250.0,0.01031
1250.0,300.0,0.009185
1250.0,350.0,0.009864
1250.0,400.0,0.00927
1250.0,450.0,0.009326
1250.0,500.0,0.00901
1250.0,50.0,0.01034
1250.0,600.0,0.009117
1300.0,150.0,0.009507
1300.0,200.0,0.01035
1300.0,300.0,0.009586
1300.0,350.0,0.01003
1300.0,400.0,0.01009
1300.0,450.0,0.01059
1300.0,500.0,0.009174
1300.0,50.0,0.01113
1300.0,550.0,0.009092
250.0,150.0,293.1
250.0,230.0,688.3
250.0,245.0,495.8
300.0,100.0,63.59
300.0,150.0,981.7
300.0,280.0,628.6
350.0,150.0,35.83
350.0,250.0,41.62
350.0,300.0,149.2
350.0,330.0,155.3
350.0,345.0,332.7
400.0,100.0,4.945
400.0,150.0,16.97
400.0,200.0,11.82
400.0,300.0,41.74
400.0,395.0,78.48
425.0,325.0,49.93
450.0,150.0,5.267
450.0,200.0,8.622
450.0,300.0,25.33
450.0,350.0,78.5
450.0,430.0,76.12
450.0,445.0,102.5
475.0,425.0,35.54
475.0,455.0,90.98
500.0,100.0,0.1584
500.0,1.0,0.1131
500.0,150.0,0.4064
500.0,200.0,2.095
550.0,1.0,0.0372
550.0,250.0,2.051
550.0,350.0,9.457
550.0,400.0,30.04
600.0,100.0,0.02689
600.0,200.0,0.05253
600.0,300.0,0.8253
600.0,350.0,11.0
600.0,450.0,6.108
650.0,100.0,0.01763
650.0,1.0,0.01587
650.0,200.0,0.02348
650.0,250.0,0.03469
650.0,350.0,0.3196
650.0,400.0,2.463
700.0,150.0,0.01305
700.0,200.0,0.01576
700.0,250.0,0.02068
700.0,300.0,0.02916
700.0,350.0,0.06479
700.0,400.0,0.266
700.0,450.0,4.177
700.0,500.0,3.748
700.0,600.0,6.483
750.0,100.0,0.01149
750.0,1.0,0.00952
750.0,150.0,0.01175
750.0,200.0,0.01223
750.0,250.0,0.01244
750.0,300.0,0.01766
750.0,350.0,0.02751
750.0,400.0,0.05351
750.0,450.0,0.165
750.0,500.0,4.33
800.0,100.0,0.0107
800.0,1.0,0.01013
800.0,250.0,0.01181
800.0,300.0,0.01391
800.0,350.0,0.01538
800.0,400.0,0.02749
800.0,450.0,0.04617
800.0,50.0,0.009024
800.0,500.0,0.1667
800.0,550.0,4.078
800.0,600.0,3.001
850.0,100.0,0.00893
850.0,150.0,0.009992
850.0,200.0,0.01012
850.0,250.0,0.01067
850.0,300.0,0.01208
850.0,350.0,0.01323
850.0,450.0,0.02046
850.0,500.0,0.04193
850.0,50.0,0.009996
900.0,100.0,0.008898
900.0,1.0,0.008759
900.0,150.0,0.009023
900.0,250.0,0.01011
900.0,300.0,0.009271
900.0,350.0,0.01021
900.0,450.0,0.01376
900.0,500.0,0.01959
900.0,50.0,0.008774
900.0,550.0,0.03357
900.0,600.0,0.1361
950.0,1.0,0.009339
950.0,150.0,0.008134
950.0,200.0,0.00889
950.0,250.0,0.009938
950.0,300.0,0.009517
950.0,400.0,0.009059
950.0,450.0,0.01198
950.0,500.0,0.01431
950.0,50.0,0.008681

