#: table_doi: 10.17182/hepdata.79165.v2/t100
#: name: Cutflow Table 5
#: description: Cutflow table in b1L-SRA300-2j for a pair produced bottom squark of 700 GeV decaying into a 300 GeV neutralino in a mixed decay scenario.
#: data_file: data137.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Cutflow
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
REQUIREMENT,UNWEIGHTED COUNTS
Total,54000.0
Production filter,51573.0
Lepton trigger,5978.0
Event cleaning,5916.0
1 lepton,5236.0
$p_T(l_1$)$>27$ GeV,5236.0
$\geq 2$ jets ($p_T>35$ GeV),5061.0
"$\min[\Delta\phi({\mathrm{jet}}_{1-4},E^{\mathrm{miss}}_T)]>0.4$",4082.0
2 b-jets,1661.0
$E^{\mathrm{miss}}_T>200$ GeV,1224.0
$E^{\mathrm{miss}}_T/\sqrt{H_T}$,1195.0
$m_{T}>140$ GeV,969.0
$m_{\ell b}^{min}<170$ GeV,950.0
$am_{T2} >250$ GeV,483.0
$m_{bb}>200$ GeV,289.0
$m_{eff} >300$ GeV,289.0
$< 3$ jets ($p_T>35$ GeV),68.0

#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
REQUIREMENT,WEIGHTED COUNTS
Total,2420.42
Production filter,2181.7
Lepton trigger,257.34
Event cleaning,254.56
1 lepton,235.06
$p_T(l_1$)$>27$ GeV,235.06
$\geq 2$ jets ($p_T>35$ GeV),224.35
"$\min[\Delta\phi({\mathrm{jet}}_{1-4},E^{\mathrm{miss}}_T)]>0.4$",182.26
2 b-jets,73.38
$E^{\mathrm{miss}}_T>200$ GeV,54.13
$E^{\mathrm{miss}}_T/\sqrt{H_T}$,53.0
$m_{T}>140$ GeV,44.09
$m_{\ell b}^{min}<170$ GeV,43.18
$am_{T2} >250$ GeV,23.49
$m_{bb}>200$ GeV,14.64
$m_{eff} >300$ GeV,14.64
$< 3$ jets ($p_T>35$ GeV),3.78

