#: table_doi: 10.17182/hepdata.79165.v2/t89
#: name: Limit on cross section 14
#: description: Cross section excluded at 95% CL for b1L-SRA600 as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data86.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.02854
1000.0,200.0,0.02771
1000.0,250.0,0.03158
1000.0,300.0,0.02713
1000.0,350.0,0.03447
1000.0,450.0,0.03224
1000.0,500.0,0.03965
1050.0,100.0,0.02931
1050.0,150.0,0.02584
1050.0,200.0,0.02641
1050.0,300.0,0.02547
1050.0,350.0,0.02801
1050.0,400.0,0.0317
1050.0,450.0,0.0329
1050.0,500.0,0.02912
1050.0,550.0,0.03245
1100.0,150.0,0.02621
1100.0,200.0,0.02555
1100.0,250.0,0.03319
1100.0,300.0,0.03149
1100.0,350.0,0.02894
1100.0,400.0,0.03071
1100.0,450.0,0.03308
1100.0,500.0,0.03125
1100.0,550.0,0.03165
1150.0,100.0,0.02747
1150.0,150.0,0.02557
1150.0,200.0,0.02488
1150.0,250.0,0.02691
1150.0,300.0,0.02431
1150.0,350.0,0.02727
1150.0,400.0,0.02552
1150.0,450.0,0.02741
1150.0,500.0,0.02601
1150.0,550.0,0.03097
1200.0,150.0,0.02825
1200.0,200.0,0.02778
1200.0,250.0,0.02583
1200.0,300.0,0.02589
1200.0,350.0,0.02472
1200.0,400.0,0.02619
1200.0,450.0,0.02844
1200.0,500.0,0.03116
1200.0,550.0,0.03116
1250.0,100.0,0.03155
1250.0,150.0,0.02993
1250.0,200.0,0.02686
1250.0,250.0,0.02557
1250.0,300.0,0.02644
1250.0,350.0,0.03235
1250.0,400.0,0.02562
1250.0,450.0,0.02628
1250.0,500.0,0.02341
1300.0,100.0,0.02658
1300.0,150.0,0.02986
1300.0,200.0,0.02975
1300.0,250.0,0.02674
1300.0,300.0,0.02659
1300.0,350.0,0.0249
1300.0,400.0,0.02611
1300.0,450.0,0.02615
1300.0,500.0,0.02647
1300.0,550.0,0.02843
400.0,100.0,0.7729
400.0,150.0,2.108
450.0,150.0,0.6229
500.0,100.0,0.1216
500.0,200.0,0.2879
500.0,250.0,0.578
550.0,100.0,0.08279
550.0,200.0,0.1193
550.0,250.0,0.174
550.0,300.0,0.4837
600.0,100.0,0.06077
600.0,200.0,0.07701
600.0,250.0,0.1178
600.0,300.0,0.1586
600.0,350.0,0.4547
600.0,400.0,1.976
650.0,150.0,0.05363
650.0,200.0,0.05951
650.0,250.0,0.07376
650.0,350.0,0.1816
650.0,400.0,0.3673
650.0,450.0,1.573
700.0,150.0,0.03998
700.0,200.0,0.04792
700.0,250.0,0.04906
700.0,300.0,0.06044
700.0,350.0,0.0753
700.0,400.0,0.106
700.0,450.0,0.3198
700.0,500.0,1.527
750.0,100.0,0.0357
750.0,150.0,0.03619
750.0,250.0,0.04186
750.0,300.0,0.04647
750.0,350.0,0.05788
750.0,400.0,0.07949
750.0,450.0,0.1106
750.0,500.0,0.3588
800.0,100.0,0.0301
800.0,200.0,0.03601
800.0,250.0,0.03835
800.0,300.0,0.04096
800.0,350.0,0.05762
800.0,450.0,0.07665
800.0,550.0,0.2768
800.0,600.0,2.04
850.0,100.0,0.03204
850.0,150.0,0.02781
850.0,200.0,0.03437
850.0,250.0,0.0339
850.0,300.0,0.03337
850.0,350.0,0.03959
850.0,400.0,0.04859
850.0,450.0,0.05081
850.0,550.0,0.1066
850.0,600.0,0.329
900.0,100.0,0.02624
900.0,150.0,0.02695
900.0,200.0,0.02977
900.0,250.0,0.0311
900.0,300.0,0.02949
900.0,350.0,0.03631
900.0,400.0,0.04227
900.0,450.0,0.03908
900.0,550.0,0.06467
900.0,600.0,0.1058
950.0,100.0,0.02923
950.0,150.0,0.02878
950.0,250.0,0.03303
950.0,300.0,0.03078
950.0,350.0,0.03206
950.0,400.0,0.03689
950.0,450.0,0.03512
950.0,500.0,0.03817
950.0,550.0,0.06069

