#: table_doi: 10.17182/hepdata.79165.v2/t28
#: name: Best SR 3
#: description: combined signal region with best expected exclusion limit in the ( M(SBOTTOM), M(NEUTRALINO) ) mass plane for the asymmetric decay of the sbottom into bottom quark and neutralino or top quark and chargino.
#: data_file: data27.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],Best expected SR
1000.0,100.0,comb-A-HM
1000.0,150.0,comb-A-HM
1000.0,200.0,comb-A-HM
1000.0,250.0,comb-A-HM
1000.0,300.0,comb-A-HM
1000.0,350.0,comb-A-HM
1000.0,450.0,comb-A-HM
1000.0,500.0,comb-A-HM
1050.0,100.0,comb-A-HM
1050.0,150.0,comb-A-HM
1050.0,200.0,comb-A-HM
1050.0,300.0,comb-A-HM
1050.0,350.0,comb-A-HM
1050.0,400.0,comb-A-HM
1050.0,450.0,comb-A-HM
1050.0,500.0,comb-A-HM
1050.0,550.0,comb-A-HM
1100.0,100.0,comb-A-HM
1100.0,150.0,comb-A-HM
1100.0,200.0,comb-A-HM
1100.0,250.0,comb-A-HM
1100.0,300.0,comb-A-HM
1100.0,350.0,comb-A-HM
1100.0,400.0,comb-A-HM
1100.0,450.0,comb-A-HM
1100.0,500.0,comb-A-HM
1100.0,550.0,comb-A-HM
1150.0,100.0,comb-A-HM
1150.0,150.0,comb-A-HM
1150.0,200.0,comb-A-HM
1150.0,250.0,comb-A-HM
1150.0,300.0,comb-A-HM
1150.0,350.0,comb-A-HM
1150.0,400.0,comb-A-HM
1150.0,450.0,comb-A-HM
1150.0,500.0,comb-A-HM
1150.0,550.0,comb-A-HM
1200.0,150.0,comb-A-HM
1200.0,200.0,comb-A-HM
1200.0,250.0,comb-A-HM
1200.0,300.0,comb-A-HM
1200.0,350.0,comb-A-HM
1200.0,400.0,comb-A-HM
1200.0,450.0,comb-A-HM
1200.0,500.0,comb-A-HM
1200.0,550.0,comb-A-HM
1250.0,100.0,comb-A-HM
1250.0,150.0,comb-A-HM
1250.0,200.0,comb-A-HM
1250.0,250.0,comb-A-HM
1250.0,300.0,comb-A-HM
1250.0,350.0,comb-A-HM
1250.0,400.0,comb-A-HM
1250.0,450.0,comb-A-HM
1250.0,500.0,comb-A-HM
1250.0,550.0,comb-A-HM
1300.0,100.0,comb-A-HM
1300.0,150.0,comb-A-HM
1300.0,200.0,comb-A-HM
1300.0,250.0,comb-A-HM
1300.0,300.0,comb-A-HM
1300.0,350.0,comb-A-HM
1300.0,400.0,comb-A-HM
1300.0,450.0,comb-A-HM
1300.0,500.0,comb-A-HM
1300.0,550.0,comb-A-HM
250.0,150.0,comb-B
300.0,100.0,comb-B
350.0,250.0,comb-B
400.0,100.0,comb-B
400.0,150.0,comb-B
400.0,300.0,comb-B
425.0,325.0,comb-B
450.0,150.0,comb-B
450.0,200.0,comb-B
500.0,100.0,comb-A-LM
500.0,200.0,comb-B
500.0,250.0,comb-B
500.0,300.0,comb-B
550.0,100.0,comb-A-LM
550.0,200.0,comb-A-LM
550.0,250.0,comb-A-LM
550.0,300.0,comb-B
600.0,100.0,comb-A-LM
600.0,150.0,comb-A-LM
600.0,200.0,comb-A-LM
600.0,250.0,comb-A-LM
600.0,300.0,comb-A-LM
600.0,350.0,comb-B
600.0,400.0,comb-B
650.0,150.0,comb-A-HM
650.0,200.0,comb-A-LM
650.0,250.0,comb-A-LM
650.0,300.0,comb-A-LM
650.0,350.0,comb-A-LM
650.0,400.0,comb-B
650.0,450.0,comb-B
700.0,100.0,comb-A-HM
700.0,150.0,comb-A-HM
700.0,200.0,comb-A-HM
700.0,250.0,comb-A-HM
700.0,300.0,comb-A-LM
700.0,350.0,comb-A-LM
700.0,400.0,comb-A-LM
700.0,450.0,comb-B
700.0,500.0,comb-B
750.0,100.0,comb-A-HM
750.0,150.0,comb-A-HM
750.0,200.0,comb-A-HM
750.0,250.0,comb-A-HM
750.0,300.0,comb-A-HM
750.0,350.0,comb-A-LM
750.0,400.0,comb-A-LM
750.0,450.0,comb-A-LM
750.0,500.0,comb-B
750.0,550.0,comb-B
800.0,100.0,comb-A-HM
800.0,200.0,comb-A-HM
800.0,250.0,comb-A-HM
800.0,300.0,comb-A-HM
800.0,350.0,comb-A-HM
800.0,400.0,comb-A-LM
800.0,450.0,comb-A-LM
800.0,500.0,comb-A-LM
800.0,550.0,comb-B
800.0,600.0,comb-B
850.0,100.0,comb-A-HM
850.0,150.0,comb-A-HM
850.0,200.0,comb-A-HM
850.0,250.0,comb-A-HM
850.0,300.0,comb-A-HM
850.0,350.0,comb-A-HM
850.0,400.0,comb-A-HM
850.0,450.0,comb-A-HM
850.0,550.0,comb-A-LM
850.0,600.0,comb-B
900.0,100.0,comb-A-HM
900.0,150.0,comb-A-HM
900.0,200.0,comb-A-HM
900.0,250.0,comb-A-HM
900.0,300.0,comb-A-HM
900.0,350.0,comb-A-HM
900.0,400.0,comb-A-HM
900.0,450.0,comb-A-HM
900.0,550.0,comb-A-LM
900.0,600.0,comb-A-LM
950.0,100.0,comb-A-HM
950.0,150.0,comb-A-HM
950.0,200.0,comb-A-HM
950.0,250.0,comb-A-HM
950.0,300.0,comb-A-HM
