#: table_doi: 10.17182/hepdata.79165.v2/t86
#: name: Limit on cross section 11
#: description: Cross section excluded at 95% CL for best b1L SR as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data94.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.02854
1000.0,150.0,0.02213
1000.0,200.0,0.02124
1000.0,250.0,0.02472
1000.0,300.0,0.02096
1000.0,350.0,0.02664
1000.0,450.0,0.02494
1000.0,500.0,0.03049
1050.0,100.0,0.02213
1050.0,150.0,0.01962
1050.0,200.0,0.01986
1050.0,300.0,0.02547
1050.0,350.0,0.02134
1050.0,400.0,0.0246
1050.0,450.0,0.02497
1050.0,500.0,0.02912
1050.0,550.0,0.03245
1100.0,100.0,0.0208
1100.0,150.0,0.01975
1100.0,200.0,0.01952
1100.0,250.0,0.02553
1100.0,300.0,0.024
1100.0,350.0,0.02276
1100.0,400.0,0.02346
1100.0,450.0,0.03308
1100.0,500.0,0.02428
1100.0,550.0,0.02519
1150.0,100.0,0.02079
1150.0,150.0,0.02002
1150.0,200.0,0.01925
1150.0,250.0,0.02051
1150.0,300.0,0.02431
1150.0,350.0,0.021
1150.0,400.0,0.02552
1150.0,450.0,0.02098
1150.0,500.0,0.02059
1150.0,550.0,0.02324
1200.0,150.0,0.02131
1200.0,200.0,0.02778
1200.0,250.0,0.01956
1200.0,300.0,0.0196
1200.0,350.0,0.01854
1200.0,400.0,0.02619
1200.0,450.0,0.0221
1200.0,500.0,0.02569
1200.0,550.0,0.02403
1250.0,100.0,0.02376
1250.0,150.0,0.0225
1250.0,200.0,0.02044
1250.0,250.0,0.02557
1250.0,300.0,0.0198
1250.0,350.0,0.03235
1250.0,400.0,0.02562
1250.0,450.0,0.02628
1250.0,500.0,0.01748
1250.0,550.0,0.0212
1300.0,100.0,0.02021
1300.0,150.0,0.02265
1300.0,200.0,0.0228
1300.0,250.0,0.0199
1300.0,300.0,0.02047
1300.0,350.0,0.02041
1300.0,400.0,0.01981
1300.0,450.0,0.0204
1300.0,500.0,0.01984
1300.0,550.0,0.02148
400.0,100.0,1.011
400.0,150.0,1.76
450.0,150.0,0.7469
450.0,200.0,1.257
500.0,100.0,0.1216
500.0,200.0,0.2879
500.0,250.0,0.6932
500.0,300.0,2.453
550.0,100.0,0.08317
550.0,200.0,0.1193
550.0,250.0,0.174
550.0,300.0,0.5174
600.0,100.0,0.06077
600.0,150.0,0.06388
600.0,200.0,0.07176
600.0,250.0,0.1178
600.0,300.0,0.1586
600.0,350.0,0.6178
600.0,400.0,1.842
650.0,150.0,0.0472
650.0,200.0,0.05531
650.0,250.0,0.07376
650.0,300.0,0.08521
650.0,350.0,0.1816
650.0,400.0,0.3673
650.0,450.0,1.294
700.0,100.0,0.03303
700.0,150.0,0.03426
700.0,200.0,0.04792
700.0,250.0,0.04279
700.0,300.0,0.05643
700.0,350.0,0.07458
700.0,400.0,0.106
700.0,450.0,0.3198
700.0,500.0,1.44
750.0,100.0,0.02825
750.0,150.0,0.03009
750.0,200.0,0.03211
750.0,250.0,0.03596
750.0,300.0,0.04192
750.0,350.0,0.05441
750.0,400.0,0.07735
750.0,450.0,0.1106
750.0,500.0,0.3337
750.0,550.0,1.159
800.0,100.0,0.02408
800.0,200.0,0.02983
800.0,250.0,0.03238
800.0,300.0,0.03323
800.0,350.0,0.04991
800.0,400.0,0.04349
800.0,450.0,0.07444
800.0,500.0,0.1304
800.0,550.0,0.2768
800.0,600.0,2.097
850.0,100.0,0.02575
850.0,150.0,0.02302
850.0,200.0,0.02666
850.0,250.0,0.02655
850.0,300.0,0.02787
850.0,350.0,0.03353
850.0,400.0,0.04035
850.0,450.0,0.046
850.0,550.0,0.1066
850.0,600.0,0.4785
900.0,100.0,0.02067
900.0,150.0,0.02089
900.0,200.0,0.0229
900.0,250.0,0.0311
900.0,300.0,0.02949
900.0,350.0,0.0288
900.0,400.0,0.03609
900.0,450.0,0.03211
900.0,550.0,0.06425
900.0,600.0,0.1058
950.0,100.0,0.02241
950.0,150.0,0.02302
950.0,200.0,0.02342
950.0,250.0,0.03303
950.0,300.0,0.02382
950.0,350.0,0.0263
950.0,400.0,0.02959
950.0,450.0,0.0278
950.0,500.0,0.03366
950.0,550.0,0.05362

