#: table_doi: 10.17182/hepdata.79165.v2/t63
#: name: Contour 34
#: description: Observed exclusion limit for A-LowMass combination for sbottom pair production with asymmetric decay into a bottom quark and a neutralino or a top quark and a chargino.
#: data_file: data62.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
763.0,318.8
771.1,306.2
776.8,293.8
780.7,281.2
784.0,268.8
787.0,256.2
787.5,254.1
790.1,243.8
792.6,231.2
794.5,218.8
796.3,206.2
798.7,193.8
803.1,181.2
808.3,168.8
812.5,158.6
813.5,156.2
816.1,143.8
815.8,131.2
815.4,118.8
814.0,106.2
814.0,100.0
354.5,100.0
354.5,106.2
362.5,113.2
368.9,118.8
383.4,131.2
387.5,134.8
399.1,143.8
412.5,155.6
413.3,156.2
427.3,168.8
437.5,178.5
440.2,181.2
452.7,193.8
462.5,203.9
464.6,206.2
475.9,218.8
486.8,231.2
487.5,232.0
500.0,243.8
512.5,255.5
513.5,256.2
530.5,268.8
537.5,273.8
548.7,281.2
562.5,290.4
568.1,293.8
587.5,306.2
587.7,306.2
610.6,318.8
612.5,319.8
637.5,327.0
650.7,331.2
662.5,335.1
681.1,343.8
687.5,347.6
712.5,351.3
733.5,343.8
737.5,342.1
750.4,331.2
762.5,319.4
763.0,318.8

