#: table_doi: 10.17182/hepdata.79165.v2/t95
#: name: Limit on cross section 20
#: description: Cross section excluded at 95% CL for B combination as a function of the sbottom and neutralino masses, for a pair produced sbottom with asymmetric decay into a bottom and a neutralino or a top and a chargino.
#: data_file: data92.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.1811
1000.0,150.0,0.1742
1000.0,200.0,0.2007
1000.0,250.0,0.1627
1000.0,300.0,0.1914
1000.0,350.0,0.1713
1000.0,450.0,0.1638
1000.0,500.0,0.1639
1050.0,100.0,0.2189
1050.0,200.0,0.1987
1050.0,300.0,0.1523
1050.0,350.0,0.16
1050.0,400.0,0.1466
1050.0,450.0,0.1922
1050.0,500.0,0.1627
1050.0,550.0,0.2044
1100.0,100.0,0.182
1100.0,150.0,0.1784
1100.0,250.0,0.1654
1100.0,300.0,0.1813
1100.0,350.0,0.2
1100.0,450.0,0.16
1100.0,500.0,0.1663
1100.0,550.0,0.1964
1150.0,250.0,0.1864
1150.0,400.0,0.1582
1150.0,450.0,0.1839
1150.0,500.0,0.1756
1150.0,550.0,0.15
1200.0,150.0,0.2022
1200.0,250.0,0.1924
1200.0,300.0,0.1817
1200.0,350.0,0.2014
1200.0,400.0,0.1839
1200.0,500.0,0.2092
1200.0,550.0,0.1659
1250.0,400.0,0.149
400.0,100.0,0.6665
450.0,150.0,0.5143
450.0,200.0,0.6377
500.0,100.0,0.258
500.0,200.0,0.349
500.0,250.0,0.4903
500.0,300.0,0.6881
550.0,100.0,0.2214
550.0,200.0,0.2791
550.0,250.0,0.3071
550.0,300.0,0.3658
600.0,100.0,0.228
600.0,150.0,0.1841
600.0,200.0,0.2126
600.0,250.0,0.2352
600.0,300.0,0.3341
600.0,400.0,0.64
650.0,150.0,0.1887
650.0,200.0,0.2149
650.0,250.0,0.1904
650.0,300.0,0.2244
650.0,400.0,0.3393
650.0,450.0,0.5676
700.0,100.0,0.1745
700.0,150.0,0.1748
700.0,200.0,0.1993
700.0,250.0,0.1871
700.0,300.0,0.2066
700.0,350.0,0.2371
700.0,400.0,0.2605
700.0,450.0,0.3537
700.0,500.0,0.5129
750.0,100.0,0.1805
750.0,150.0,0.1691
750.0,200.0,0.1687
750.0,250.0,0.2031
750.0,300.0,0.1841
750.0,350.0,0.1761
750.0,450.0,0.3087
750.0,500.0,0.2796
750.0,550.0,0.4632
800.0,100.0,0.1848
800.0,200.0,0.1711
800.0,250.0,0.1833
800.0,300.0,0.2028
800.0,350.0,0.1591
800.0,400.0,0.2037
800.0,450.0,0.1877
800.0,500.0,0.2307
800.0,550.0,0.3194
800.0,600.0,0.6429
850.0,150.0,0.1645
850.0,200.0,0.177
850.0,250.0,0.1865
850.0,300.0,0.1789
850.0,350.0,0.1976
850.0,400.0,0.1658
850.0,550.0,0.2116
850.0,600.0,0.3086
900.0,100.0,0.1844
900.0,150.0,0.1722
900.0,200.0,0.2133
900.0,250.0,0.1614
900.0,300.0,0.1645
900.0,350.0,0.1776
900.0,400.0,0.1889
900.0,450.0,0.2072
900.0,550.0,0.2064
900.0,600.0,0.1873
950.0,100.0,0.168
950.0,150.0,0.1849
950.0,200.0,0.161
950.0,250.0,0.2027
950.0,300.0,0.1765
950.0,350.0,0.1584
950.0,400.0,0.15
950.0,450.0,0.1412
950.0,500.0,0.2169

