#: table_doi: 10.17182/hepdata.79165.v2/t35
#: name: Contour 6
#: description: Observed exclusion limit for b0L-SRA450 for sbottom pair production with symmetric decay into a bottom quark and a neutralino.
#: data_file: data34.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: EXCLUSION LIMIT
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO1) [GEV]
409.1,0.0
409.1,8.488
413.3,23.46
418.5,38.44
420.6,44.46
423.2,53.41
427.5,68.39
431.9,83.36
436.2,98.34
446.9,107.3
454.1,113.3
473.1,128.1
473.3,128.3
485.5,143.3
497.9,158.2
499.4,159.5
515.8,173.2
525.6,181.7
533.8,188.2
549.3,203.2
551.9,205.2
562.8,218.1
573.5,233.1
578.1,239.1
585.9,248.1
595.6,263.1
604.4,268.5
615.4,278.0
630.6,292.0
632.0,293.0
646.7,308.0
656.9,318.2
663.7,323.0
682.2,337.9
683.1,338.7
703.8,352.9
709.4,357.6
725.7,367.9
735.6,376.1
748.9,382.9
761.9,389.5
786.0,397.8
788.1,398.9
811.8,412.8
814.4,414.5
836.1,427.8
840.6,431.7
866.9,438.7
893.1,436.8
905.1,427.8
919.4,417.0
923.8,412.8
944.7,397.8
945.0,382.9
943.9,367.9
942.5,352.9
943.6,337.9
943.2,323.0
942.6,308.0
941.5,293.0
939.9,278.0
937.8,263.1
936.3,248.1
941.6,233.1
945.6,218.3
945.7,218.1
950.8,203.2
955.0,188.2
959.2,173.2
959.1,158.2
958.5,143.3
956.4,128.3
948.0,113.3
945.6,108.2
942.8,98.34
945.6,84.58
946.0,83.36
950.7,68.39
953.0,53.41
952.5,38.44
950.0,23.46
946.3,8.488
946.3,0.0

