#: table_doi: 10.17182/hepdata.79165.v2/t80
#: name: Limit on cross section 5
#: description: Cross section excluded at 95% CL for b0L-SRB as a function of the sbottom and neutralino masses, for a pair produced sbottom with symmetric decay into a bottom and a neutralino.
#: data_file: data79.yaml
#: data_license:   
#: keyword reactions: P P --> SBOTTOM SBOTTOMBAR X
#: keyword observables: Excluded cross section
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY
#: keyword cmenergies: 13000.0
#: RE,P P --> SBOTTOM SBOTTOMBAR X
#: SQRT(S) [GEV],13000.0
M(SBOTTOM) [GEV],M(NEUTRALINO) [GEV],XSEC [PB]
1000.0,100.0,0.1802
1000.0,1.0,0.1713
1000.0,150.0,0.1061
1000.0,250.0,0.1034
1000.0,300.0,0.1384
1000.0,450.0,0.08695
1000.0,550.0,0.09275
1050.0,100.0,0.1319
1050.0,1.0,0.1271
1050.0,150.0,0.2162
1050.0,200.0,0.1371
1050.0,350.0,0.1384
1050.0,400.0,0.1106
1050.0,450.0,0.1481
1050.0,500.0,0.1193
1050.0,50.0,0.1273
1050.0,550.0,0.1231
1050.0,600.0,0.1514
1100.0,100.0,0.1264
1100.0,1.0,0.1473
1100.0,150.0,0.1176
1100.0,200.0,0.1227
1100.0,250.0,0.2101
1100.0,300.0,0.1605
1100.0,400.0,0.1359
1100.0,50.0,0.1549
1100.0,550.0,0.1473
1150.0,1.0,0.1529
1150.0,150.0,0.1572
1150.0,200.0,0.1535
1150.0,250.0,0.1527
1150.0,300.0,0.165
1150.0,350.0,0.227
1150.0,400.0,0.1347
1150.0,450.0,0.1624
1150.0,50.0,0.1117
1150.0,600.0,0.1325
1200.0,100.0,0.153
1200.0,1.0,0.09718
1200.0,350.0,0.2057
1200.0,400.0,0.1682
1200.0,450.0,0.1763
1200.0,500.0,0.1316
1200.0,50.0,0.1424
1200.0,550.0,0.09703
1200.0,600.0,0.0941
1250.0,150.0,0.09897
1250.0,400.0,0.09957
1250.0,450.0,0.1113
250.0,150.0,4.42
250.0,200.0,20.3
250.0,245.0,219.9
300.0,150.0,0.9403
300.0,250.0,15.7
350.0,150.0,0.3747
350.0,250.0,1.307
350.0,300.0,15.76
350.0,345.0,228.3
400.0,100.0,0.21
400.0,1.0,0.2075
400.0,200.0,0.3042
400.0,300.0,0.8387
400.0,350.0,3.815
400.0,395.0,93.86
425.0,325.0,0.7126
425.0,375.0,5.165
450.0,150.0,0.1854
450.0,200.0,0.1908
450.0,300.0,0.3038
450.0,350.0,0.7431
475.0,375.0,0.597
475.0,425.0,4.082
475.0,455.0,58.69
500.0,100.0,0.1657
500.0,1.0,0.1379
500.0,150.0,0.1624
500.0,200.0,0.159
500.0,250.0,0.2013
500.0,350.0,0.2371
550.0,100.0,0.1698
550.0,1.0,0.1382
550.0,200.0,0.1444
550.0,250.0,0.1554
550.0,300.0,0.1606
550.0,350.0,0.1695
550.0,400.0,0.2316
550.0,450.0,0.4692
600.0,100.0,0.1601
600.0,1.0,0.1243
600.0,150.0,0.1068
600.0,250.0,0.1355
600.0,300.0,0.1704
600.0,500.0,0.5212
650.0,100.0,0.113
650.0,1.0,0.1324
650.0,150.0,0.1399
650.0,200.0,0.122
650.0,250.0,0.1122
650.0,300.0,0.1241
650.0,350.0,0.1335
650.0,400.0,0.1199
650.0,450.0,0.1704
650.0,500.0,0.1889
650.0,550.0,0.3625
650.0,600.0,3.975
700.0,100.0,0.09814
700.0,1.0,0.1528
700.0,150.0,0.1422
700.0,200.0,0.1388
700.0,300.0,0.1191
700.0,500.0,0.1389
700.0,550.0,0.2013
750.0,100.0,0.1097
750.0,1.0,0.1117
750.0,150.0,0.1553
750.0,200.0,0.09582
750.0,250.0,0.1508
750.0,350.0,0.09651
750.0,400.0,0.117
750.0,450.0,0.1371
750.0,500.0,0.1037
750.0,550.0,0.1396
750.0,600.0,0.1617
800.0,100.0,0.1283
800.0,200.0,0.1089
800.0,250.0,0.1058
800.0,300.0,0.1246
800.0,350.0,0.1009
800.0,400.0,0.1193
800.0,450.0,0.1024
800.0,500.0,0.1187
800.0,550.0,0.1192
800.0,600.0,0.1599
850.0,100.0,0.1057
850.0,1.0,0.1189
850.0,150.0,0.09163
850.0,250.0,0.09807
850.0,300.0,0.1226
850.0,400.0,0.1002
850.0,500.0,0.1049
850.0,50.0,0.1144
850.0,550.0,0.08049
850.0,600.0,0.1142
900.0,150.0,0.09095
900.0,200.0,0.1372
900.0,250.0,0.125
900.0,300.0,0.1286
900.0,350.0,0.1185
900.0,400.0,0.1114
900.0,50.0,0.1215
900.0,600.0,0.1093
950.0,100.0,0.1257
950.0,200.0,0.107
950.0,250.0,0.1461
950.0,300.0,0.1162
950.0,350.0,0.1136
950.0,400.0,0.1272
950.0,500.0,0.175
950.0,550.0,0.1294

