#: table_doi: 10.17182/hepdata.78219.v1/t33
#: name: Exclusion contour (exp) 1
#: description: Expected exclusion limits at 95% CL for a simplified model assuming $\tilde{t}_{1}$ pair production, decaying via $\tilde{t}_{1}\rightarrow t+\tilde{\chi}_{1}^{0}$ with 100% branching ratio.
#: data_file: Figure9_exp.yaml
#: data_license:   
#: keyword Reactions: P P --> STOP1 STOP1 | STOP1 --> TOP NEUTRALINO1
#: keyword Observables: EXP Exclusion
#: keyword Phrases: SUSY | Third Generation | squark | stop
#: keyword Cmenergies: 13000.0
#: $\sqrt{s}$ [GEV],13000.0
#'m($\tilde{t}_{1}$) [GEV]','m($\tilde{\chi}_{1}^{0}$) [GEV]'
729.7,287.9
728.6,263.0
733.9,238.0
737.5,230.8
746.2,213.1
755.3,188.1
762.5,164.3
762.8,163.2
769.4,138.2
774.6,113.3
778.8,88.3
779.0,63.4
769.3,38.4
763.4,13.5
284.9,13.5
287.5,22.5
291.1,38.4
287.5,57.6
286.3,63.4
287.5,68.4
292.3,88.3
308.2,113.3
312.5,117.7
331.1,138.2
337.5,144.0
361.4,163.2
362.5,164.2
387.5,187.7
388.0,188.1
412.5,207.9
421.1,213.1
437.5,227.3
452.3,238.0
462.5,244.9
487.5,259.9
492.5,263.0
512.5,280.8
521.9,287.9
537.5,299.5
561.8,312.9
562.5,313.3
587.5,318.1
612.5,322.4
637.5,324.7
662.5,328.3
687.5,331.0
712.5,318.4
719.9,312.9
729.7,287.9
371.6,321.0
371.0,320.2
370.9,320.0
370.2,319.0
370.0,318.8
369.4,318.0
369.0,317.4
368.7,317.0
368.0,316.0
368.0,316.0
367.3,315.0
367.0,314.6
366.6,314.0
366.0,313.2
365.9,313.0
365.2,312.0
365.0,311.8
364.4,311.0
364.0,310.4
363.7,310.0
363.0,309.0
363.0,309.0
362.3,308.0
362.0,307.6
361.6,307.0
361.0,306.2
360.9,306.0
360.2,305.0
360.0,304.8
359.4,304.0
359.0,303.4
358.7,303.0
358.0,302.0
358.0,302.0
357.3,301.0
357.0,300.6
356.6,300.0
356.0,299.2
355.9,299.0
356.0,298.8
356.5,298.0
357.0,297.3
357.3,297.0
358.0,296.1
358.1,296.0
358.9,295.0
359.0,294.9
359.7,294.0
360.0,293.6
360.5,293.0
361.0,292.4
361.3,292.0
362.0,291.2
362.1,291.0
362.9,290.0
363.0,289.9
363.8,289.0
364.0,288.7
364.6,288.0
365.0,287.5
365.4,287.0
366.0,286.2
367.0,286.1
368.0,286.1
369.0,286.1
370.0,286.1
371.0,286.1
372.0,286.1
373.0,286.0
374.0,286.0
375.0,286.0
375.9,287.0
376.0,287.1
376.9,288.0
377.0,288.1
377.9,289.0
378.0,289.1
379.0,290.0
379.0,290.0
380.0,290.9
380.2,291.0
381.0,291.7
381.4,292.0
382.0,292.5
382.6,293.0
383.0,293.3
383.8,294.0
384.0,294.1
385.0,294.9
385.4,295.0
386.0,295.2
387.0,295.5
388.0,295.8
388.5,296.0
389.0,296.2
390.0,296.5
391.0,296.8
391.6,297.0
392.0,297.1
393.0,297.5
394.0,297.8
395.0,297.9
396.0,297.8
397.0,297.7
398.0,297.7
399.0,297.6
400.0,297.5
400.6,298.0
401.0,298.3
401.8,299.0
402.0,299.2
403.0,300.0
403.0,300.0
404.0,300.8
404.2,301.0
405.0,301.7
405.4,302.0
406.0,302.5
406.6,303.0
407.0,303.3
407.8,304.0
408.0,304.2
409.0,305.0
409.0,305.0
410.0,305.8
410.2,306.0
411.0,306.7
411.4,307.0
412.0,307.5
412.9,308.0
413.0,308.1
413.4,308.0
414.0,307.8
415.0,307.5
416.0,307.2
416.8,307.0
417.0,306.9
418.0,306.6
419.0,306.3
420.0,306.0
420.1,306.0
421.0,305.7
422.0,305.4
423.0,305.1
423.4,305.0
424.0,304.8
425.0,304.5
426.0,304.3
427.0,304.2
427.9,304.0
428.0,304.0
429.0,303.8
430.0,303.6
431.0,303.5
432.0,303.3
433.0,303.1
433.8,303.0
434.0,303.0
435.0,302.8
436.0,302.6
437.0,302.5
437.2,302.0
437.2,301.0
437.0,300.0
437.0,299.9
436.8,299.0
436.7,298.0
436.5,297.0
436.3,296.0
436.1,295.0
436.0,294.4
435.9,294.0
435.7,293.0
435.6,292.0
435.4,291.0
435.2,290.0
435.0,289.0
435.0,288.9
434.8,288.0
434.7,287.0
434.5,286.0
434.3,285.0
434.1,284.0
434.0,283.9
433.5,283.0
433.0,282.0
433.0,282.0
432.4,281.0
432.0,280.2
431.9,280.0
431.4,279.0
431.0,278.3
430.8,278.0
430.3,277.0
430.0,276.5
429.7,276.0
429.0,275.0
429.0,275.0
428.0,274.0
428.0,274.0
427.0,273.0
427.0,273.0
426.0,272.0
426.0,272.0
425.0,271.1
424.9,271.0
424.0,270.1
423.9,270.0
423.0,269.1
422.9,269.0
422.0,268.1
421.9,268.0
421.0,267.2
420.8,267.0
420.0,266.2
419.8,266.0
419.0,265.1
418.9,265.0
418.0,264.1
417.9,264.0
417.0,263.1
416.9,263.0
416.0,262.1
415.9,262.0
415.0,261.1
414.9,261.0
414.0,260.1
413.9,260.0
413.0,259.1
412.9,259.0
412.0,258.1
411.9,258.0
411.0,257.1
410.9,257.0
410.0,256.1
409.9,256.0
409.0,255.1
408.9,255.0
408.0,254.1
407.9,254.0
407.0,253.1
406.9,253.0
406.0,252.1
405.9,252.0
405.0,251.1
404.9,251.0
404.0,250.1
403.9,250.0
403.0,249.0
403.0,249.0
402.0,248.0
402.0,248.0
401.0,247.0
401.0,247.0
400.0,246.0
400.0,246.0
399.0,245.0
399.0,245.0
398.1,244.0
398.0,243.9
397.2,243.0
397.0,242.8
396.2,242.0
396.0,241.8
395.3,241.0
395.0,240.7
394.3,240.0
394.0,239.6
393.4,239.0
393.0,238.6
392.5,238.0
392.0,237.5
391.5,237.0
391.0,236.4
390.6,236.0
390.0,235.4
389.6,235.0
389.0,234.3
388.7,234.0
388.0,233.3
387.8,233.0
387.0,232.2
386.8,232.0
386.0,231.1
385.9,231.0
385.0,230.1
384.9,230.0
384.0,229.0
384.0,229.0
383.1,228.0
383.0,227.9
382.1,227.0
382.0,226.9
381.2,226.0
381.0,225.8
380.2,225.0
380.0,224.8
379.2,224.0
379.0,223.8
378.3,223.0
378.0,222.7
377.3,222.0
377.0,221.7
376.3,221.0
376.0,220.7
375.3,220.0
375.0,219.7
374.3,219.0
374.0,218.7
373.3,218.0
373.0,217.7
372.3,217.0
372.0,216.7
371.3,216.0
371.0,215.7
370.3,215.0
370.0,214.6
369.4,214.0
369.0,213.6
368.4,213.0
368.0,212.6
367.4,212.0
367.0,211.6
366.4,211.0
366.0,210.6
365.5,210.0
365.0,209.5
364.5,209.0
364.0,208.5
363.5,208.0
363.0,207.5
362.5,207.0
362.0,206.5
361.6,206.0
361.0,205.4
360.6,205.0
360.0,204.4
359.6,204.0
359.0,203.4
358.6,203.0
358.0,202.4
357.7,202.0
357.0,201.3
356.7,201.0
356.0,200.3
355.7,200.0
355.0,199.3
354.7,199.0
354.0,198.2
353.8,198.0
353.0,197.2
352.8,197.0
352.0,196.2
351.8,196.0
351.0,195.2
350.8,195.0
350.0,194.1
349.9,194.0
349.1,193.0
349.0,192.8
348.3,192.0
348.0,191.5
347.6,191.0
347.0,190.2
346.8,190.0
346.0,189.0
346.0,188.9
345.3,188.0
345.0,187.7
344.5,187.0
344.0,186.4
343.7,186.0
343.0,185.1
343.0,185.0
342.2,184.0
342.0,183.8
341.4,183.0
341.0,182.5
340.7,182.0
340.0,181.2
339.9,181.0
339.1,180.0
339.0,179.9
338.3,179.0
338.0,178.6
337.6,178.0
337.0,177.3
336.8,177.0
336.0,176.0
336.0,176.0
335.1,175.0
335.0,174.9
334.2,174.0
334.0,173.8
333.2,173.0
333.0,172.7
332.3,172.0
332.0,171.7
331.4,171.0
331.0,170.6
330.4,170.0
330.0,169.5
329.5,169.0
329.0,168.5
328.6,168.0
328.0,167.4
327.6,167.0
327.0,166.3
326.7,166.0
326.0,165.3
325.8,165.0
325.0,164.2
324.8,164.0
324.0,163.1
323.9,163.0
323.0,162.0
323.0,162.0
322.0,161.0
322.0,161.0
321.1,160.0
321.0,159.9
320.2,159.0
320.0,158.8
319.2,158.0
319.0,157.8
318.3,157.0
318.0,156.7
317.3,156.0
317.0,155.6
316.4,155.0
316.0,154.6
315.5,154.0
315.0,153.5
314.5,153.0
314.0,152.4
313.6,152.0
313.0,151.3
312.7,151.0
312.0,150.2
311.8,150.0
311.0,149.1
310.9,149.0
310.1,148.0
310.0,147.9
309.3,147.0
309.0,146.7
308.4,146.0
308.0,145.5
307.6,145.0
307.0,144.3
306.7,144.0
306.0,143.2
305.9,143.0
305.0,142.0
305.0,142.0
304.2,141.0
304.0,140.8
303.3,140.0
303.0,139.6
302.5,139.0
302.0,138.4
301.6,138.0
301.0,137.2
300.8,137.0
300.0,136.1
299.9,136.0
299.0,135.2
298.7,135.0
298.0,134.4
297.6,134.0
297.0,133.5
296.4,133.0
296.0,132.7
295.2,132.0
295.0,131.8
294.1,131.0
294.0,131.0
293.0,130.1
292.9,130.0
292.0,129.3
291.7,129.0
291.0,128.4
290.5,128.0
290.0,127.5
289.4,127.0
289.0,126.7
288.2,126.0
288.0,125.8
287.1,125.0
287.0,124.9
286.0,124.0
285.9,124.0
285.0,123.2
284.8,123.0
284.0,122.3
283.7,122.0
283.0,121.4
282.6,121.0
282.0,120.5
281.5,120.0
281.0,119.6
280.3,119.0
280.0,118.7
279.2,118.0
279.0,117.8
278.1,117.0
278.0,116.9
277.0,116.0
277.0,116.0
276.0,115.1
275.9,115.0
275.0,114.2
274.8,114.0
274.0,113.3
273.6,113.0
273.0,112.4
272.5,112.0
272.0,111.5
271.4,111.0
271.0,110.7
270.3,110.0
270.0,109.8
269.2,109.0
269.0,108.9
268.0,108.0
268.0,108.0
267.0,107.1
266.9,107.0
266.0,106.2
265.8,106.0
265.0,105.3
264.8,105.0
264.0,104.3
263.7,104.0
263.0,103.2
262.9,103.0
262.0,102.0
262.0,102.0
261.1,101.0
261.0,100.9
260.2,100.0
260.0,99.8
259.3,99.0
259.0,98.7
258.4,98.0
258.0,97.6
257.5,97.0
257.0,96.4
256.6,96.0
256.0,95.3
255.7,95.0
255.0,94.2
254.8,94.0
254.0,93.1
253.9,93.0
253.0,92.0
253.0,92.0
252.1,91.0
252.0,90.8
251.3,90.0
251.0,89.7
250.4,89.0
250.0,88.6
249.4,88.0
249.0,87.6
248.4,87.0
248.0,86.7
247.3,86.0
247.0,85.7
246.3,85.0
246.0,84.7
245.3,84.0
245.0,83.8
244.2,83.0
244.0,82.8
243.2,82.0
243.0,81.8
242.2,81.0
242.0,80.8
241.1,80.0
241.0,79.9
240.1,79.0
240.0,78.9
239.1,78.0
239.0,77.9
238.0,77.0
238.0,77.0
237.0,76.0
237.0,76.0
236.0,75.1
235.9,75.0
235.0,74.2
234.8,74.0
234.0,73.3
233.7,73.0
233.0,72.3
232.6,72.0
232.0,71.4
231.5,71.0
231.0,70.5
230.4,70.0
230.0,69.6
229.3,69.0
229.0,68.7
228.2,68.0
228.0,67.8
227.1,67.0
227.0,66.9
226.0,66.0
226.0,66.0
225.0,65.1
224.9,65.0
224.1,64.0
224.0,63.9
223.2,63.0
223.0,62.8
222.3,62.0
222.0,61.7
221.4,61.0
221.0,60.6
220.5,60.0
220.0,59.5
219.6,59.0
219.0,58.3
218.7,58.0
218.0,57.2
217.8,57.0
217.0,56.1
216.9,56.0
216.0,55.0
216.0,55.0
215.1,54.0
215.0,53.8
214.3,53.0
214.0,52.7
213.4,52.0
213.0,51.6
212.0,51.5
211.5,52.0
211.0,52.4
210.3,53.0
210.0,53.3
209.2,54.0
209.0,54.1
208.0,55.0
208.0,55.0
207.0,55.9
206.9,56.0
206.0,56.8
205.7,57.0
205.0,57.6
204.6,58.0
204.0,58.5
203.4,59.0
203.0,59.4
202.3,60.0
202.0,60.3
201.1,61.0
201.0,61.1
200.0,61.9
200.0,62.0
200.0,63.0
199.9,64.0
199.9,65.0
199.9,66.0
199.8,67.0
199.8,68.0
199.8,69.0
199.8,70.0
199.7,71.0
199.7,72.0
199.7,73.0
199.7,74.0
199.7,75.0
199.7,76.0
199.6,77.0
199.6,78.0
199.6,79.0
199.6,80.0
199.6,81.0
199.6,82.0
199.6,83.0
199.5,84.0
199.5,85.0
199.5,86.0
199.5,87.0
199.5,88.0
199.5,89.0
199.5,90.0
199.5,91.0
199.5,92.0
199.5,93.0
199.5,94.0
199.4,95.0
199.4,96.0
199.4,97.0
199.4,98.0
199.4,99.0
199.4,100.0
199.4,101.0
199.4,102.0
199.4,103.0
199.4,104.0
199.4,105.0
199.4,106.0
199.4,107.0
199.4,108.0
199.4,109.0
199.4,110.0
200.0,110.6
200.4,111.0
200.4,112.0
201.0,112.6
201.4,113.0
201.4,114.0
201.4,115.0
202.0,115.6
202.4,116.0
202.4,117.0
202.4,118.0
