#: table_doi: 10.17182/hepdata.85726.v1/t28
#: name: Observed limit 1lyy 1D massless
#: description: The observed cross-section exclusion as a function of the $\tilde{\chi}_{1}^{\pm}$/$\tilde{\chi}_{2}^{0}$ masses for the $1l\gamma\gamma$ analysis for signal models assuming $m(\tilde{\chi}_{1}^{0}) = 0$ GeV.
#: data_file: 1D_massless_1D_yy_obs.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Limit | Observed | Photon | Chargino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(LIMIT) [GEV]
150.0,1.3068
175.0,1.866
200.0,2.3106
225.0,3.5479
250.0,4.6382
275.0,5.8654
300.0,7.2742
325.0,9.353
350.0,11.1664
375.0,13.5783
400.0,16.6857
425.0,20.3849
450.0,24.6388
475.0,29.3947
500.0,35.6897

