#: table_doi: 10.17182/hepdata.85726.v1/t54
#: name: Efficiency SS SRSS-j23
#: description: Efficiencies for $l^{\pm}l^{\pm}$ signal region SRSS-j23. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Eff_SRSS-j23.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Same-Sign | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Efficiency
150,0,1.07174
152.5,22.5,0.773153
162.5,12.5,0.889677
175,0,1.0517
175,25,1.34725
177.5,47.5,1.07224
187.5,12.5,0.791914
187.5,37.5,0.898492
190,60,0.409967
200,0,0.651761
200,25,0.797939
200,50,1.06401
202.5,72.5,0.856482
212.5,12.5,0.585147
212.5,37.5,0.79115
212.5,62.5,0.722306
215,85,0.572704
225,0,0.718046
225,25,0.770714
225,50,0.768553
225,75,0.831474
227.5,97.5,0.553603
237.5,12.5,0.875823
237.5,37.5,0.938113
237.5,62.5,0.504331
237.5,87.5,0.65543
240,110,1.07196
250,0,1.13136
250,25,0.986471
250,50,0.882885
250,75,0.884514
250,100,0.666788
262.5,12.5,0.831147
262.5,37.5,0.966136
262.5,62.5,0.527818
262.5,87.5,0.68162
275,0,0.759288
275,25,0.949278
275,50,0.733225
275,75,0.576356
287.5,12.5,0.85052
287.5,37.5,0.80292
287.5,62.5,0.698555
300,0,0.672479
300,25,0.853339
300,50,0.680012
300,75,0.84468
300,100,0.59679
312.5,12.5,-1
312.5,37.5,-1
325,0,-1
325,25,-1
325,50,-1
325,75,-1
325,100,-1
337.5,12.5,-1
350,0,-1
350,25,-1
350,50,-1
350,75,-1
350,100,-1

