#: table_doi: 10.17182/hepdata.85726.v1/t53
#: name: Acceptance SS SRSS-j23
#: description: Acceptance for $l^{\pm}l^{\pm}$ signal region SRSS-j23. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Acc_SRSS-j23.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Same-sign | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
150,0,3.77733e-05
152.5,22.5,3.42456e-05
162.5,12.5,4.73259e-05
175,0,7.91259e-05
175,25,5.55002e-05
177.5,47.5,5.37281e-05
187.5,12.5,0.000108888
187.5,37.5,6.61006e-05
190,60,5.23154e-05
200,0,0.000149172
200,25,0.000122826
200,50,8.12024e-05
202.5,72.5,4.10161e-05
212.5,12.5,0.000124592
212.5,37.5,0.0001117
212.5,62.5,9.42404e-05
215,85,6.16353e-05
225,0,0.000158956
225,25,0.000158239
225,50,0.00015623
225,75,9.81101e-05
227.5,97.5,5.65828e-05
237.5,12.5,0.000177318
237.5,37.5,0.000166749
237.5,62.5,0.000158071
237.5,87.5,0.000108546
240,110,5.57867e-05
250,0,0.000220567
250,25,0.000186184
250,50,0.000190903
250,75,0.000109485
250,100,0.000102938
262.5,12.5,0.000222771
262.5,37.5,0.000181674
262.5,62.5,0.000205195
262.5,87.5,0.000176649
275,0,0.000288507
275,25,0.000206862
275,50,0.000275345
275,75,0.000295282
287.5,12.5,0.00025538
287.5,37.5,0.000270496
287.5,62.5,0.000286861
300,0,0.00030332
300,25,0.000324666
300,50,0.000330831
300,75,0.000314396
300,100,0.000280768
312.5,12.5,0.000276688
312.5,37.5,0.000274775
325,0,0.000210248
325,25,0.000276043
325,50,0.000402767
325,75,0.000446914
325,100,0.000349905
337.5,12.5,0.000426458
350,0,0.000409859
350,25,0.000438622
350,50,0.000415188
350,75,0.000424421
350,100,0.000244782

