#: table_doi: 10.17182/hepdata.85726.v1/t16
#: name: Observed limit 3l 1D diagonal
#: description: The observed cross-section exclusion as a function of the $\tilde{\chi}_{1}^{\pm}$/$\tilde{\chi}_{2}^{0}$ masses for the $3l$ analysis for signal models with $m(\tilde{\chi}_{2}^{0}) - m(\tilde{\chi}_{1}^{0}) = 130$ GeV.
#: data_file: 1D_diagonal_1D_3l_obs.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Limit | Observed | Three Lepton | Chargino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(LIMIT) [GEV]
152.5,1.2875
177.5,0.9985
190.0,1.5455
202.5,2.2845
215.0,2.0447
227.0,3.1279
240.0,2.3753

