#: table_doi: 10.17182/hepdata.85726.v1/t31
#: name: Expected limit SS 1D massless
#: description: The expected cross-section exclusion as a function of the $\tilde{\chi}_{1}^{\pm}$/$\tilde{\chi}_{2}^{0}$ masses for the $l^{\pm}l^{\pm}$ analysis for signal models assuming $m(\tilde{\chi}_{1}^{0}) = 0$ GeV.
#: data_file: 1D_massless_1D_ss_exp.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Limit | Expected | Same-Sign | Chargino | Neutralino | Proton-Proton Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(LIMIT) [GEV]
150.0,0.9491
175.0,0.7196
200.0,0.915
225.0,1.1328
250.0,1.0628
275.0,1.3321
300.0,1.7519
325.0,2.1582
350.0,2.7172
375.0,3.0669
400.0,4.5655
425.0,5.265
450.0,5.0934
475.0,7.6359
500.0,11.2113
525.0,10.9264
550.0,13.7715
575.0,15.681

