#: table_doi: 10.17182/hepdata.85726.v1/t69
#: name: Cutflow 0lbb
#: description: Event selection cutflow for SM background (pre-fit) and representative signal samples for the $0lb\bar{b}$ SR. The masses of next-lightest-neutralinos and LSPs are reported. Only statistical uncertainties are shown. The MC statistics for the signal samples is 50K and 44K events, respectively. Samples are produced with generator filters which selects $h \rightarrow b\bar{b}$ and $W \rightarrow qq'$ decays. ``All events" for SUSY scenarios represent the total number of signal events for the models considered taking into account the BR of $W \rightarrow qq'$ (0.674) and $h \rightarrow b\bar{b}$ (0.582).
#: data_file: cutflow_0L.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Cutflow | Hadronic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
Cut [],"Wh(550,0) []",stat +,stat -
All events,427.2,1.9,-1.9
Trigger,336.9,2.0,-2.0
$N_{\mathrm{lepton}}=0$,334.7,2.0,-2.0
"$N_{\mathrm{jet}}(p_{\mathrm{T}}>30$ GeV) $\in[4,~5]$",205.1,1.6,-1.6
$N_{\mathrm{b-jet}}=$ 2,92.4,1.1,-1.1
$\Delta \Phi_{\mathrm{min}}^{4j}>$ 0.4,79.6,1.0,-1.0
$E_{\mathrm{T}}^{\mathrm{miss}}>$ 200 GeV,65.9,0.9,-0.9
$m_{\mathrm{eff}} >$ 700 GeV,57.7,0.8,-0.8
"$m_{b\bar{b}}\in [105,135]$ GeV",34.5,0.6,-0.6
"$m_{q\bar{q}} \in [75,90]$ GeV",12.4,0.4,-0.4
$m_{\mathrm{CT}}> 190$ GeV,8.91,0.3,-0.3
"$m_{\mathrm{T}}^{b,\mathrm{min}}>180$ GeV",8.52,0.29,-0.29
$E_{\mathrm{T}}^{\mathrm{miss}}>250$ GeV,11.2,0.4,-0.4
$m_{\mathrm{eff}} >900$ GeV,7.37,0.28,-0.28
$m_{\mathrm{CT}} >140$ GeV,6.88,0.28,-0.28
"$m_{\mathrm{T}}^{b,\mathrm{min}} >160$ GeV",6.75,0.28,-0.28

#: SQRT(S) [GEV],13000.0
Cut [],"Wh(700,0) []",stat +,stat -
All events,134.7,0.6,-0.6
Trigger,109.6,0.7,-0.7
$N_{\mathrm{lepton}}=0$,108.8,0.7,-0.7
"$N_{\mathrm{jet}}(p_{\mathrm{T}}>30$ GeV) $\in[4,~5]$",65.2,0.5,-0.5
$N_{\mathrm{b-jet}}=$ 2,29.3,0.4,-0.4
$\Delta \Phi_{\mathrm{min}}^{4j}>$ 0.4,25.38,0.33,-0.33
$E_{\mathrm{T}}^{\mathrm{miss}}>$ 200 GeV,22.42,0.31,-0.31
$m_{\mathrm{eff}} >$ 700 GeV,21.35,0.31,-0.31
"$m_{b\bar{b}}\in [105,135]$ GeV",12.84,0.24,-0.24
"$m_{q\bar{q}} \in [75,90]$ GeV",4.28,0.13,-0.13
$m_{\mathrm{CT}}> 190$ GeV,3.60,0.12,-0.12
"$m_{\mathrm{T}}^{b,\mathrm{min}}>180$ GeV",3.47,0.12,-0.12
$E_{\mathrm{T}}^{\mathrm{miss}}>250$ GeV,3.94,0.13,-0.13
$m_{\mathrm{eff}} >900$ GeV,3.38,0.12,-0.12
$m_{\mathrm{CT}} >140$ GeV,3.25,0.11,-0.11
"$m_{\mathrm{T}}^{b,\mathrm{min}} >160$ GeV",3.22,0.11,-0.11

