#: table_doi: 10.17182/hepdata.85726.v1/t39
#: name: Acceptance 1lbb SR1Lbb-Low
#: description: Acceptance for $1lb\bar{b}$ SR1Lbb-Low signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lbb_Acc_SR1.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Leptonic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Acceptance
150.0,0.0,0.000188151462439
152.5,22.5,0.00012973675961
152.5,22.5,0.000138682897463
162.5,12.5,0.00020563146
165.0,35.0,0.000148803076976
165.0,35.0,0.000173886959415
175.0,0.0,0.000219475893073
175.0,25.0,0.000194053525463
177.5,47.5,0.00013445973922
177.5,47.5,0.000160128694537
187.5,12.5,0.000294149800976
187.5,37.5,0.000210958992
190.0,60.0,0.000163317605268
190.0,60.0,0.000184196663122
200.0,0.0,0.000302537449756
200.0,25.0,0.000316523739512
200.0,50.0,0.000282251256585
202.5,72.5,0.000119640643024
202.5,72.5,0.000128573259805
212.5,12.5,0.000401880670244
212.5,37.5,0.000226359952683
212.5,62.5,0.000281265822439
215.0,85.0,0.00014101195961
215.0,85.0,0.000185958756878
225.0,0.0,0.000392493837073
225.0,25.0,0.000400778359024
225.0,50.0,0.000432857678049
225.0,75.0,0.00024890004
237.5,12.5,0.000442281178537
227.5,97.5,0.000140022858732
227.5,97.5,0.000138954006439
237.5,37.5,0.000496530474146
237.5,62.5,0.000375821666341
237.5,87.5,0.000232936006829
240.0,110.0,0.000145990693756
240.0,110.0,0.000124956028976
250.0,0.0,0.000585400592195
250.0,25.0,0.000433836237073
250.0,50.0,0.000461364225366
250.0,75.0,0.00030249161561
250.0,100.0,0.000216553507902
262.5,12.5,0.000522706355122
262.5,37.5,0.000571434927805
262.5,62.5,0.000575862506341
262.5,87.5,0.000337025353171
275.0,0.0,0.000648516503415
275.0,25.0,0.000681299376585
275.0,50.0,0.00042353730439
275.0,75.0,0.000330842326829
287.5,12.5,0.000556266117073
287.5,37.5,0.000609779774634
287.5,62.5,0.000634369794146
300.0,0.0,0.00074478654439
300.0,25.0,0.000700144085854
300.0,50.0,0.00064562436878
300.0,100.0,0.000663300307317
300.0,75.0,0.000704237075122
312.5,12.5,0.000879646644878
312.5,37.5,0.000765033778537
325.0,0.0,0.000921963020488
325.0,25.0,0.000780704473171
325.0,50.0,0.000806559515122
325.0,75.0,0.000818267847805
325.0,100.0,0.000791821545366
337.5,12.5,0.000947795145366
