#: table_doi: 10.17182/hepdata.85726.v1/t44
#: name: Efficiency 1lbb SR1Lbb-High
#: description: Efficiency for $1lb\bar{b}$ SR1Lbb-High signal region. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: 1Lbb_Eff_SR3.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Leptonic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],Efficiency
150.0,0.0,0.0
152.5,22.5,0.0
162.5,12.5,0.0
165.0,35.0,0.0
175.0,0.0,0.0
175.0,25.0,0.0
177.5,47.5,0.0
187.5,12.5,0.215486462575
187.5,37.5,0.508400596112
190.0,60.0,0.0
200.0,0.0,0.183426884481
200.0,25.0,0.256255931572
200.0,50.0,0.0
202.5,72.5,0.0
212.5,12.5,0.384587188331
212.5,37.5,0.263597932733
212.5,62.5,0.0
215.0,85.0,0.0435619600244
225.0,0.0,0.461901911405
225.0,25.0,0.301954847349
225.0,50.0,0.188655375857
225.0,75.0,0.0
237.5,12.5,0.247621281943
227.5,97.5,0.109812658444
237.5,37.5,0.474222544017
237.5,62.5,0.469396360604
237.5,87.5,0.180252888446
240.0,110.0,0.0
250.0,0.0,0.288574388819
250.0,25.0,0.362781866985
250.0,50.0,0.497741880896
250.0,75.0,0.412467157463
250.0,100.0,0.120088951327
262.5,12.5,0.459230133659
262.5,37.5,0.49253033442
262.5,62.5,0.467458500997
262.5,87.5,0.189888795116
275.0,0.0,0.356616837836
275.0,25.0,0.347853336311
275.0,50.0,0.566251660848
275.0,75.0,0.434164540335
287.5,12.5,0.443131248355
287.5,37.5,0.479792501942
287.5,62.5,0.417617426815
300.0,0.0,0.428253559769
300.0,25.0,0.314273727196
300.0,50.0,0.520233493438
300.0,100.0,0.494692673814
300.0,75.0,0.53619242289
312.5,12.5,0.406650337842
312.5,37.5,0.457270812971
325.0,0.0,0.484517257328
325.0,25.0,0.484315837134
325.0,50.0,0.539026595292
325.0,75.0,0.531367778673
325.0,100.0,0.452561545246
337.5,12.5,0.526588798374
350.0,0.0,0.437955866083
350.0,25.0,0.424394147554
350.0,50.0,0.412312640246
350.0,75.0,0.500631479625
350.0,100.0,0.383756101081
375.0,0.0,0.451930051252
375.0,25.0,0.499486726586
375.0,50.0,0.47851280824
375.0,75.0,0.490566384505
400.0,0.0,0.478647938222
400.0,25.0,0.475575388204
400.0,50.0,0.457743775859
425.0,0.0,0.497608892187
425.0,25.0,0.475535873414
450.0,0.0,0.496954941369
400.0,75.0,0.55175314329
425.0,50.0,0.473474959262
425.0,75.0,0.508061307858
450.0,25.0,0.436867876348
450.0,50.0,0.470777004062
475.0,0.0,0.514828149383
475.0,25.0,0.434883547508
500.0,0.0,0.481184300254
275.0,100.0,0.448453649327
375.0,100.0,0.445321869948
400.0,100.0,0.496111022164
425.0,100.0,0.443399375069
450.0,100.0,0.459645266287
475.0,100.0,0.486433753748
450.0,75.0,0.485652600662
475.0,75.0,0.467677741166
500.0,75.0,0.49301320816
475.0,50.0,0.506285481352
500.0,50.0,0.482816485832
525.0,50.0,0.486229429967
500.0,25.0,0.462868901241
525.0,25.0,0.479545234185
550.0,25.0,0.514838965909
575.0,25.0,0.487724099597
525.0,0.0,0.462972069747
550.0,0.0,0.457159487271
575.0,0.0,0.467415599711
600.0,0.0,0.466123658551
275.0,145.0,0.0
275.0,125.0,0.14046837096
300.0,125.0,0.298332762734
325.0,125.0,0.477964663901
350.0,125.0,0.484267018134
375.0,125.0,0.441471586362
400.0,125.0,0.506380290033
425.0,125.0,0.546649587055
450.0,125.0,0.478557645426
300.0,170.0,0.0798544969721
300.0,150.0,0.180256607898
325.0,150.0,0.50740361977
350.0,150.0,0.443438319465
375.0,150.0,0.477451147258
400.0,150.0,0.43890226987
425.0,150.0,0.454948929877
450.0,150.0,0.495004613447
325.0,190.0,0.190248246976
325.0,175.0,0.322786893953
350.0,175.0,0.398764518848
375.0,175.0,0.514941458123
400.0,175.0,0.452940720714
425.0,175.0,0.53327907569
450.0,175.0,0.507383243216
350.0,200.0,0.555522942445
375.0,200.0,0.391762231119
400.0,200.0,0.494526662815
425.0,200.0,0.588551048926
450.0,200.0,0.524854341835
500.0,100.0,0.480977208247
500.0,125.0,0.438452543214
500.0,150.0,0.464198206126
475.0,150.0,0.528651779362
475.0,125.0,0.477445151113
525.0,75.0,0.465763205082
525.0,100.0,0.455648846981
525.0,125.0,0.460410017687
550.0,50.0,0.487144116882
550.0,75.0,0.500589663061
550.0,100.0,0.434307575888
550.0,125.0,0.511256648153
575.0,50.0,0.484113709567
575.0,75.0,0.525090902975
575.0,100.0,0.472664681954
575.0,125.0,0.452561454691
600.0,15.0,0.4987770242
600.0,50.0,0.496789130393
600.0,75.0,0.509474956659
600.0,100.0,0.449810438107
600.0,125.0,0.493978106459
625.0,0.0,0.473316622614
625.0,25.0,0.47204151755
625.0,50.0,0.451384435066
625.0,75.0,0.500148821066
625.0,100.0,0.501028745565
650.0,0.0,0.369941694373
650.0,25.0,0.474610031054
650.0,50.0,0.480279036807
650.0,75.0,0.462369007501
650.0,100.0,0.466391287541
675.0,0.0,0.492371119308
675.0,25.0,0.48419590325
675.0,50.0,0.492237850346
675.0,75.0,0.464082159269
675.0,100.0,0.496935413549
700.0,0.0,0.483218818895
700.0,25.0,0.482818143269
700.0,50.0,0.438182632393
750.0,0.0,0.451271159022
750.0,25.0,0.481918702839
750.0,50.0,0.444150892863
800.0,0.0,0.496774097253
800.0,25.0,0.500532404646
800.0,50.0,0.42946681989
375.0,225.0,0.254121503407
400.0,225.0,0.55446061042
400.0,250.0,0.191448880267
425.0,225.0,0.534375460605
425.0,250.0,0.347342244258
450.0,225.0,0.514824772037
450.0,250.0,0.438560309058
475.0,175.0,0.515528787892
475.0,200.0,0.493262741276
475.0,225.0,0.531490254077
475.0,250.0,0.396316451136
500.0,175.0,0.504742846777
500.0,200.0,0.545738694068
500.0,225.0,0.505338084228
500.0,250.0,0.464046741783
525.0,150.0,0.495821399037
525.0,175.0,0.430236615321
525.0,200.0,0.436569883959
525.0,225.0,0.441260457212
525.0,250.0,0.479942454834
550.0,150.0,0.473177491659
