#: table_doi: 10.17182/hepdata.85726.v1/t65
#: name: Acceptance 3l SR3L-DFOS-1Jb
#: description: Acceptance for $3L$ DFOS signal region SR3L-DFOS-1Jb. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Acceptance_DFOS_1jb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Acceptance | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,2e-05
152.5,22.5,1.4e-05
162.5,12.5,1.1e-05
175.0,0.0,1.9e-05
175.0,25.0,1.2e-05
177.5,47.5,1.8e-05
187.5,12.5,3e-05
187.5,37.5,2e-05
190.0,60.0,1.7e-05
200.0,0.0,2.8e-05
200.0,25.0,3.4e-05
200.0,50.0,2.3e-05
202.5,72.5,2.1e-05
212.5,12.5,2.5e-05
212.5,37.5,3.9e-05
212.5,62.5,1.6e-05
215.0,85.0,2.5e-05
225.0,0.0,3.7e-05
225.0,25.0,2.9e-05
225.0,50.0,2.2e-05
225.0,75.0,1.9e-05
227.5,97.5,1.2e-05
237.5,12.5,4.4e-05
237.5,37.5,3.3e-05
237.5,62.5,2.8e-05
237.5,87.5,5.7e-05
240.0,110.0,3.7e-05
250.0,0.0,4.7e-05
250.0,100.0,5.2e-05
250.0,25.0,4.9e-05
250.0,50.0,2.3e-05
250.0,75.0,4.3e-05
262.5,12.5,1.5e-05
262.5,37.5,4.2e-05
262.5,62.5,4.1e-05
262.5,87.5,2.3e-05
275.0,0.0,4.2e-05
275.0,25.0,5.4e-05
275.0,50.0,3.4e-05
275.0,75.0,2e-05
287.5,12.5,2.6e-05
287.5,37.5,4.1e-05
287.5,62.5,3.9e-05
300.0,0.0,7.1e-05
300.0,100.0,5.3e-05
300.0,25.0,4.8e-05
300.0,50.0,5.1e-05
300.0,75.0,3.7e-05
312.5,12.5,5.5e-05
325.0,0.0,5.7e-05
325.0,100.0,6.5e-05
325.0,25.0,8.6e-05
325.0,50.0,6.1e-05
325.0,75.0,9.7e-05
337.5,12.5,0.000118
350.0,0.0,8e-05
350.0,100.0,4.9e-05
350.0,25.0,0.0001
350.0,50.0,7.4e-05
350.0,75.0,4.3e-05
375.0,0.0,3.5e-05
375.0,25.0,0.000121
375.0,50.0,8.7e-05
375.0,75.0,8.2e-05
400.0,0.0,0.000148
400.0,100.0,7.4e-05
400.0,25.0,8.8e-05
400.0,50.0,7.1e-05
400.0,75.0,6.3e-05
425.0,0.0,7.6e-05
425.0,100.0,8.7e-05
425.0,25.0,7e-05
425.0,50.0,7.8e-05
425.0,75.0,7.7e-05
450.0,0.0,0.000112
450.0,100.0,8.2e-05
450.0,25.0,0.00016
450.0,50.0,9.4e-05
450.0,75.0,0.000106
475.0,0.0,4.7e-05
475.0,100.0,9.9e-05
475.0,25.0,9.5e-05
475.0,50.0,6.5e-05
475.0,75.0,0.000112
500.0,0.0,8.2e-05
500.0,25.0,0.000121
500.0,50.0,0.000114
500.0,75.0,0.000162
525.0,0.0,0.000159
525.0,25.0,9.6e-05
525.0,50.0,0.000164
550.0,0.0,0.000119
550.0,25.0,0.000118
575.0,25.0,0.000152

