#: table_doi: 10.17182/hepdata.85726.v1/t60
#: name: Efficiency 3l SR3L-SFOS-0Jb
#: description: Efficiencies for $3L$ SFOS signal region SR3L-SFOS-0Jb. Note that the acceptance is relative to the total chargino-neutralino production cross section.
#: data_file: Efficiency_SFOS_0jb.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],
150.0,0.0,0.3914
152.5,22.5,0.5779
162.5,12.5,0.65
175.0,0.0,0.4945
175.0,25.0,0.6866
177.5,47.5,0.8076
187.5,12.5,0.4519
187.5,37.5,0.5
190.0,60.0,2.8557
200.0,0.0,0.3752
200.0,25.0,0.4171
200.0,50.0,0.6753
202.5,72.5,0.3705
212.5,12.5,0.7846
212.5,37.5,0.8749
212.5,62.5,0.9358
215.0,85.0,0.0
225.0,0.0,0.0572
225.0,25.0,0.1712
225.0,50.0,0.5555
225.0,75.0,0.4431
227.5,97.5,0.5637
237.5,12.5,0.3896
237.5,37.5,0.7799
237.5,62.5,0.3803
237.5,87.5,0.3653
240.0,110.0,0.2473
250.0,0.0,0.5038
250.0,100.0,0.1722
250.0,25.0,0.4999
250.0,50.0,0.5108
250.0,75.0,0.5122
262.5,12.5,0.517
262.5,37.5,0.2614
262.5,62.5,0.5482
262.5,87.5,1.4302
275.0,0.0,0.6733
275.0,25.0,0.1805
275.0,50.0,0.5896
275.0,75.0,0.2863
287.5,12.5,0.3209
287.5,37.5,0.3484
287.5,62.5,0.3912
300.0,0.0,0.5266
300.0,100.0,0.29
300.0,25.0,0.4898
300.0,50.0,0.3644
300.0,75.0,0.2605
312.5,12.5,0.6669
325.0,0.0,0.4125
325.0,100.0,1.2042
325.0,25.0,0.7977
325.0,50.0,0.2856
325.0,75.0,0.6494
337.5,12.5,0.2293
350.0,0.0,0.6344
350.0,100.0,0.6186
350.0,25.0,0.4802
350.0,50.0,0.327
350.0,75.0,0.6364
375.0,0.0,0.4467
375.0,25.0,0.6077
375.0,50.0,0.5373
375.0,75.0,0.202
400.0,0.0,0.3049
400.0,100.0,0.256
400.0,25.0,0.3855
400.0,50.0,0.679
400.0,75.0,0.2262
425.0,0.0,0.4328
425.0,100.0,0.4583
425.0,25.0,0.6503
425.0,50.0,0.5786
425.0,75.0,0.5928
450.0,0.0,0.2569
450.0,100.0,0.0937
450.0,25.0,0.6636
450.0,50.0,0.2474
450.0,75.0,0.6339
475.0,0.0,0.6102
475.0,100.0,1.0648
475.0,25.0,0.663
475.0,50.0,0.6831
475.0,75.0,0.7448
500.0,0.0,0.3623
500.0,25.0,0.429
500.0,50.0,0.3927
500.0,75.0,0.6866
525.0,0.0,0.6685
525.0,25.0,0.4773
525.0,50.0,0.4648
550.0,0.0,0.3571
550.0,25.0,0.4047
575.0,25.0,0.3491

