#: table_doi: 10.17182/hepdata.85726.v1/t68
#: name: Upper limits 3l
#: description: Upper cross section limits for the $3l$ analysis.
#: data_file: UL3L.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Three Lepton | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTRALINO1) [GEV],UL [pb]
152.0,22.0,6.194133634
162.0,12.0,4.503640519
175.0,0.0,4.01355381
175.0,25.0,3.692976208
177.0,47.0,2.7088336459
187.0,12.0,3.903416392
187.0,37.0,3.649595544
200.0,25.0,2.656777368
200.0,50.0,2.277804774
202.0,72.0,3.748793937
212.0,12.0,1.577773362
212.0,37.0,2.368715447
212.0,62.0,2.57053302
215.0,85.0,2.664294917
225.0,0.0,2.725256689
225.0,25.0,1.523780811
225.0,50.0,2.19357449
225.0,75.0,2.379866503
227.0,97.0,3.27181478
237.0,37.0,1.9208555324
237.0,62.0,4.84774216389
237.0,87.0,1.48179356843
240.0,110.0,2.01919252275
250.0,100.0,2.90083866394
250.0,25.0,1.91820140528
250.0,50.0,2.4331250029
250.0,75.0,1.2554614592
262.0,12.0,2.0609369935
262.0,37.0,2.32126572312
262.0,62.0,2.5757610235
262.0,87.0,1.28214359728
275.0,25.0,1.2310050219
275.0,50.0,2.21649794074
275.0,75.0,3.1341431772
287.0,12.0,1.71633203337
287.0,37.0,1.64940906658
287.0,62.0,1.34701210413
300.0,100.0,1.782715017
300.0,25.0,1.63064000064
300.0,50.0,1.437277277
300.0,75.0,1.46634854916
312.0,12.0,1.41972493873
312.0,37.0,1.25484473835
325.0,100.0,1.38610263285
325.0,50.0,1.7158497492
337.0,12.0,1.2188234975
350.0,100.0,1.211801115
350.0,25.0,0.63941248856
350.0,50.0,1.23489448576
350.0,75.0,1.3826697192

