#: table_doi: 10.17182/hepdata.85726.v1/t45
#: name: Upper limits 1Lbb
#: description: Upper cross section limits for the $1lb\bar{b}$ analysis.
#: data_file: 1Lbb_UL.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Leptonic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(CHARGINO1/NEUTRALINO2) [GEV],M(NEUTALINO1) [GEV],UL [pb]
150.0,0.0,4.1909
152.5,22.5,4.7002
162.5,12.5,3.7098
165.0,35.0,3.2688
175.0,0.0,2.3174
175.0,25.0,3.0861
177.5,47.5,4.2439
187.5,12.5,1.868
187.5,37.5,2.7285
200.0,50.0,2.777
202.5,72.5,5.6674
212.5,37.5,1.5237
212.5,62.5,2.0485
225.0,50.0,1.3718
225.0,75.0,2.1751
237.5,12.5,0.6863
237.5,62.5,1.0015
237.5,87.5,2.8175
240.0,110.0,5.6804
250.0,0.0,0.561
250.0,100.0,2.495
250.0,25.0,0.6391
250.0,50.0,0.7941
250.0,75.0,0.9383
262.5,12.5,0.4379
262.5,37.5,0.5199
262.5,62.5,0.5858
262.5,87.5,1.1852
275.0,0.0,0.3995
275.0,100.0,1.0457
275.0,125.0,2.0712
275.0,145.0,3.0622
275.0,25.0,0.3957
275.0,50.0,0.4959
275.0,75.0,0.6026
287.5,12.5,0.3253
287.5,37.5,0.3214
287.5,62.5,0.4032
300.0,0.0,0.2693
300.0,100.0,0.4924
300.0,125.0,0.7892
300.0,150.0,2.2042
300.0,170.0,3.0074
300.0,25.0,0.3172
300.0,50.0,0.2852
300.0,75.0,0.3522
312.5,12.5,0.228
312.5,37.5,0.223
325.0,0.0,0.1668
325.0,100.0,0.3352
325.0,125.0,0.448
325.0,150.0,0.728
325.0,190.0,4.9251
325.0,25.0,0.2023
325.0,50.0,0.1907
325.0,75.0,0.217
337.5,12.5,0.1349
350.0,0.0,0.1366
350.0,100.0,0.2315
350.0,175.0,0.6943
350.0,25.0,0.1544
350.0,50.0,0.1582
350.0,75.0,0.1614
375.0,0.0,0.1065
375.0,100.0,0.1527
375.0,150.0,0.2332
375.0,175.0,0.3416
375.0,25.0,0.0956
375.0,50.0,0.1073
375.0,75.0,0.1143
400.0,0.0,0.0793
400.0,100.0,0.102
400.0,175.0,0.2237
400.0,200.0,0.3126
400.0,25.0,0.0779
400.0,50.0,0.0854
400.0,75.0,0.0821
425.0,0.0,0.0586
425.0,100.0,0.0886
425.0,125.0,0.0893
425.0,150.0,0.1221
425.0,175.0,0.1251
425.0,200.0,0.1618
425.0,25.0,0.0654
425.0,50.0,0.0638
425.0,75.0,0.067
450.0,0.0,0.0479
450.0,100.0,0.064
450.0,125.0,0.071
450.0,150.0,0.08
450.0,175.0,0.0992
450.0,200.0,0.1174
450.0,25.0,0.0567
450.0,50.0,0.0523
450.0,75.0,0.057
475.0,0.0,0.0424
475.0,100.0,0.0516
475.0,125.0,0.065
475.0,150.0,0.058
475.0,25.0,0.0471
475.0,50.0,0.0459
475.0,75.0,0.0503
500.0,0.0,0.0389
500.0,100.0,0.0467
500.0,125.0,0.0525
500.0,150.0,0.0561
500.0,25.0,0.04
500.0,50.0,0.0399
500.0,75.0,0.0403
525.0,0.0,0.0345
525.0,100.0,0.0419
525.0,125.0,0.0417
525.0,25.0,0.0328
525.0,50.0,0.0356
525.0,75.0,0.0362
550.0,0.0,0.032
550.0,100.0,0.0339
550.0,125.0,0.0345
550.0,25.0,0.0298
550.0,50.0,0.0311
550.0,75.0,0.0297
575.0,100.0,0.0288
575.0,125.0,0.0332
575.0,25.0,0.0289
575.0,50.0,0.0269
575.0,75.0,0.0285
600.0,0.0,0.0258
600.0,100.0,0.0297
600.0,125.0,0.0296
600.0,15.0,0.0252
600.0,50.0,0.0268
600.0,75.0,0.0264
625.0,0.0,0.0254
625.0,100.0,0.0256
625.0,25.0,0.0257
625.0,50.0,0.0271
625.0,75.0,0.0223
650.0,0.0,0.0241
650.0,100.0,0.0247
650.0,25.0,0.0234
650.0,50.0,0.0241
650.0,75.0,0.0241
675.0,0.0,0.02
675.0,100.0,0.022
675.0,25.0,0.0203
675.0,50.0,0.0229
675.0,75.0,0.0222
700.0,0.0,0.0197
700.0,25.0,0.0204
700.0,50.0,0.0216
750.0,0.0,0.0189
750.0,25.0,0.0184
750.0,50.0,0.0206
800.0,0.0,0.0181
800.0,25.0,0.0164
800.0,50.0,0.0179

