#: table_doi: 10.17182/hepdata.85726.v1/t37
#: name: Efficiency 0lbb SRHad-High
#: description: Efficiencies for $0lb\bar{b}$ SRHad-High signal region.
#: data_file: efficiency_SRHad-High.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO1 NEUTRALINO2 X
#: keyword observables: 
#: keyword cmenergies: 13000.0
#: keyword phrases: Electroweak | Efficiency | Hadronic | Chargino | Neutralino | Proton-Proton | Scattering
#: SQRT(S) [GEV],13000.0
M(C1/N2) [GEV],M(N1) [GEV],
350.0,0.0,0.4057
350.0,50.0,0.4448
400.0,0.0,0.4553
400.0,50.0,0.4695
400.0,100.0,0.4343
450.0,0.0,0.499
450.0,50.0,0.486
450.0,100.0,0.4886
450.0,150.0,0.4178
500.0,0.0,0.4789
500.0,50.0,0.4783
500.0,100.0,0.4762
500.0,150.0,0.5276
500.0,175.0,0.46
550.0,0.0,0.4896
550.0,50.0,0.4512
550.0,100.0,0.4747
550.0,150.0,0.4695
550.0,175.0,0.5092
600.0,0.0,0.4719
600.0,50.0,0.4511
600.0,100.0,0.4555
600.0,150.0,0.4605
600.0,175.0,0.4584
650.0,0.0,0.4647
650.0,50.0,0.4766
650.0,100.0,0.4562
650.0,150.0,0.4439
700.0,0.0,0.4599
700.0,50.0,0.4443
550.0,200.0,0.4914
550.0,250.0,0.5069
600.0,200.0,0.4362
600.0,250.0,0.4929
650.0,175.0,0.4959
650.0,200.0,0.4754
650.0,250.0,0.4562
700.0,100.0,0.4182
700.0,150.0,0.4466
700.0,175.0,0.4725
700.0,200.0,0.4906
750.0,0.0,0.4612
750.0,50.0,0.4831
750.0,100.0,0.4509
750.0,150.0,0.4591
800.0,0.0,0.4694
800.0,50.0,0.4664
800.0,100.0,0.441
800.0,150.0,0.4568
850.0,0.0,0.4261
850.0,50.0,0.4436

