#: table_doi: 10.17182/hepdata.83419.v1/t9
#: name: Expected upper limit 1
#: description: Expected exclusion limits at 95% CL on the masses of C1/N2 and N1 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the 2$\ell$ search, assuming 100\% branching ratio of the sparticles to decay to SM $W/Z$ bosons and LSP.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword cmenergies: 13000.0
'M(NLSP) [GeV]','M(LSP) [GeV]'
517.973,155.0
523.833,145.0
527.734,135.0
528.125,134.024
531.653,125.0
533.381,115.0
533.632,105.0
540.755,95.0
541.875,92.816
543.614,85.0
543.543,75.0
543.473,65.0
543.402,55.0
544.015,45.0
545.31,35.0
546.605,25.0
547.901,15.0
547.633,5.0
231.25,5.0
232.676,15.0
234.103,25.0
235.658,35.0
237.353,45.0
237.274,55.0
239.375,60.028
253.125,62.642
255.886,65.0
265.983,75.0
266.875,75.857
276.388,85.0
280.625,89.072
286.793,95.0
291.598,105.0
294.375,107.735
308.125,114.006
309.704,115.0
320.857,125.0
321.875,125.861
333.108,135.0
335.625,137.143
347.754,145.0
349.375,146.778
363.125,153.016
370.062,155.0
376.875,157.066
390.625,161.236
403.035,165.0
404.375,165.406
418.125,169.576
431.875,173.567
437.237,175.0
445.625,177.221
459.375,180.861
473.125,184.501
475.892,185.0
486.875,187.241
492.378,185.0
500.625,177.214
502.354,175.0
510.164,165.0
514.375,159.608

