#: table_doi: 10.17182/hepdata.83419.v1/t39
#: name: Cross-section UL 2L
#: description: Observed 95% CL upper limit on the production cross-section of C1/N2 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the 2$\ell$ search, assuming 100% branching ratio of the sparticles to decay to SM $W/Z$ bosons and N1.
#: data_file: data39.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword phrases: 
#: keyword cmenergies: 13000.0
'M(LSP) [GeV]','M(NLSP) [GeV]','95% CL Upper Limit'
1.0,150.0,29594.7820038
50.0,150.0,63614.743768
1.0,200.0,11863.6175905
50.0,200.0,32414.816694
100.0,200.0,57409.032265
1.0,250.0,359.071546995
50.0,250.0,418.279208337
100.0,250.0,11645.2845288
150.0,250.0,27047.0543985
100.0,300.0,219.598561952
150.0,300.0,3048.34758712
200.0,300.0,10837.3808752
1.0,350.0,76.210244442
50.0,350.0,70.286471766
100.0,350.0,97.30745379
150.0,350.0,154.529539614
200.0,350.0,1617.49949139
250.0,350.0,9819.128637
1.0,400.0,46.115755053
100.0,400.0,45.535618731
200.0,400.0,135.90122939
50.0,450.0,34.1177511351
150.0,450.0,39.529183908
250.0,450.0,111.112491105
1.0,500.0,25.6050530337
50.0,500.0,21.1685323374
100.0,500.0,31.0954160055
150.0,500.0,30.093025893
200.0,500.0,37.3007322765
250.0,500.0,59.052250068
1.0,550.0,19.0463788464
50.0,550.0,19.8713175096
100.0,550.0,19.7782566336
150.0,550.0,22.3071293784
200.0,550.0,28.9483878744
250.0,550.0,38.711816136
1.0,600.0,22.903849908
50.0,600.0,17.1938260248
100.0,600.0,19.8799271328
150.0,600.0,17.2955792964
200.0,600.0,22.293088632
250.0,600.0,29.446224816
50.0,650.0,18.719479111
150.0,650.0,16.553524286
250.0,650.0,23.219035724

