#: table_doi: 10.17182/hepdata.83419.v1/t10
#: name: Observed Upper limit 1
#: description: Observed exclusion limits at 95% CL on the masses of C1/N2 and N1 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the 2$\ell$ search, assuming 100% branching ratio of the sparticles to decay to SM $W/Z$ bosons and LSP.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword cmenergies: 13000.0
'M(NLSP) [GeV]','M(LSP) [GeV]'
596.451,185.0
596.875,184.736
605.225,175.0
610.625,168.704
613.427,165.0
620.991,155.0
622.645,145.0
618.391,135.0
614.137,125.0
610.625,116.743
609.931,115.0
606.316,105.0
605.331,95.0
607.427,85.0
610.625,75.108
610.66,75.0
613.875,65.0
617.09,55.0
615.565,45.0
610.625,37.115
609.406,35.0
603.641,25.0
597.876,15.0
596.875,13.263
593.129,5.0
229.908,5.0
230.531,15.0
231.264,25.0
232.233,35.0
233.201,45.0
233.366,55.0
236.872,65.0
239.375,66.445
253.125,67.94
260.406,75.0
266.875,81.273
270.719,85.0
280.625,94.606
281.032,95.0
285.981,105.0
294.375,114.971
294.425,115.0
308.125,122.26
311.339,125.0
321.875,133.981
323.119,135.0
334.802,145.0
335.625,146.161
343.903,155.0
349.375,159.108
357.475,165.0
363.125,169.11
372.011,175.0
376.875,178.668
388.309,185.0
390.625,186.77
404.375,192.263
414.232,195.0
418.125,196.279
431.875,200.782
444.753,205.0
445.625,205.36
459.375,211.042
468.955,215.0
473.125,216.723
486.875,221.576
499.414,225.0
500.625,225.331
514.375,225.063
514.963,225.0
528.125,222.697
539.752,215.0
541.875,213.594
555.625,206.451
558.789,205.0
569.375,199.551
578.215,195.0
583.125,192.575

