#: table_doi: 10.17182/hepdata.83419.v1/t12
#: name: Observed upper limit 2
#: description: Observed exclusion limits at 95% CL on the masses of C1/N2 and N1 from the analysis of 36.1fb$^{-1}$ of 13 TeV $pp$ collision data obtained from the the $3\ell$ search, assuming 100% branching ratio of the sparticles to decay to SM $W/Z$ bosons and LSP.
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: N
#: keyword cmenergies: 13000.0
'M(NLSP) [GeV]','M(LSP) [GeV]'
494.458,165.0
493.506,155.0
495.591,145.0
497.5,141.273
499.251,135.0
502.041,125.0
504.832,115.0
506.268,105.0
507.752,95.0
509.702,85.0
509.727,75.0
509.753,65.0
509.778,55.0
510.416,45.0
511.667,35.0
512.5,28.343
512.88,25.0
513.822,15.0
513.344,5.0
222.495,5.0
222.483,15.0
222.832,25.0
225.177,35.0
227.5,41.811
228.661,45.0
230.53,55.0
233.805,65.0
242.5,69.235
257.5,73.062
261.238,75.0
272.5,80.839
280.526,85.0
287.5,88.615
299.815,95.0
302.5,96.777
314.928,105.0
317.5,107.351
325.866,115.0
332.5,124.903
332.542,125.0
335.919,135.0
339.296,145.0
346.454,155.0
347.5,155.957
359.184,165.0
362.5,167.567
374.404,175.0
377.5,177.364
392.5,183.063
407.5,183.984
417.303,185.0
422.5,185.589
437.5,187.981
452.5,190.373
467.5,192.765
481.513,195.0
482.5,195.186
489.673,195.0
496.087,185.0
495.411,175.0

