#: table_doi: 10.17182/hepdata.81996.v1/t20
#: name: Table 20
#: description: Observed 95% CL exclusion limit for chargino-neutralino production with W/Z-mediated decays.
#: data_file: fig_08d_Observed.yaml
#: data_license:   
#: keyword reactions: P P --> Neutralino2 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: $m(\widetilde{\chi}_2^0)/m(\widetilde{\chi}_1^\pm)$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
540.750946477,195.0
542.5,193.178246105
550.207762777,185.0
557.5,177.26264321
559.594041779,175.0
568.848889252,165.0
572.5,161.054920669
578.103732197,155.0
582.754526951,145.0
582.801272667,135.0
582.774211365,125.0
582.504659101,115.0
581.694615244,105.0
581.564129931,95.0
582.285619157,85.0
583.249739661,75.0
584.56602339,65.0
587.141623194,55.0
586.995838923,45.0
583.615616919,35.0
580.705570227,25.0
579.591510316,15.0
579.790099917,5.0
89.3760639434,5.0
92.5,13.4022868161
107.5,13.4022868161
109.154567012,15.0
116.364364184,25.0
122.5,32.7155367948
124.636234144,35.0
132.268991198,45.0
137.5,50.6866059443
141.60050095,55.0
152.395134879,65.0
152.5,65.0971456038
165.335981496,75.0
167.5,76.6695224129
178.297882388,85.0
182.5,88.2418992282
192.751055448,95.0
197.5,98.9202992048
207.298654933,105.0
212.5,109.57047855
221.915031424,115.0
227.5,119.122443811
238.157469559,125.0
242.5,127.394889944
257.5,133.518595849
263.090244539,135.0
272.5,137.493567268
287.5,141.506008645
298.150593038,145.0
302.5,146.319292361
317.5,154.658064941
318.119297039,155.0
332.5,162.901353776
336.319599632,165.0
347.5,171.142973318
353.274097061,175.0
362.5,181.16279275
368.047524833,185.0
377.5,191.538250361
382.504717179,195.0
392.5,202.424590641
400.387395754,205.0
407.5,206.796136947
422.5,207.27093362
437.5,207.37530897
452.5,207.479683699
467.5,207.584058429
482.5,207.688435156
495.337436669,215.0
497.5,218.791100157
511.009783948,225.0
512.5,225.684881582
527.5,225.823190588
528.484750803,225.0
531.471040161,215.0
534.457342094,205.0
540.750946477,195.0

