#: table_doi: 10.17182/hepdata.81996.v1/t14
#: name: Table 14
#: description: Observed 95% CL exclusion limit for chargino-pair production.
#: data_file: fig_08a_Observed.yaml
#: data_license:   
#: keyword reactions: P P --> Chargino1 Chargino1
#: keyword observables: GIVE KEY FOR Y-AXIS VARIABLE
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#$m(\widetilde{\chi}_1^\pm)$ [GEV],$m(\widetilde{\chi}_1^0)$ [GEV]
684.375,308.539624699
686.396563038,305.2375
692.996932475,295.2625
700.143064768,285.2875
703.125,281.12513598
707.289197061,275.3125
710.811318536,265.3375
710.665077497,255.3625
712.656239362,245.3875
717.132355845,235.4125
721.443241797,225.4375
721.875,223.682202
723.896835474,215.4625
726.350438025,205.4875
728.23026864,195.5125
729.40848421,185.5375
729.201766573,175.5625
724.668615168,165.5875
721.875,160.152899185
719.541043252,155.6125
716.798107914,145.6375
717.123072499,135.6625
717.448042244,125.6875
718.687059089,115.7125
720.819568826,105.7375
721.875,101.72589777
723.491505859,95.7625
726.381951709,85.7875
729.601836594,75.8125
733.322481121,65.8375
736.825204601,55.8625
739.062438438,45.8875
738.72346974,35.9125
738.720823362,25.9375
738.770333743,15.9625
738.848114044,5.9875
126.042703393,5.9875
126.552217229,15.9625
127.804264807,25.9375
129.971668432,35.9125
134.636578413,45.8875
140.625,51.0657835602
159.375,51.0657835602
164.601599703,55.8625
175.08892904,65.8375
178.125,67.7441821492
187.308135364,75.8125
196.875,84.217963343
198.476949032,85.7875
208.657941568,95.7625
214.434006292,105.7375
215.625,109.48396833
217.33365172,115.7125
226.14389642,125.6875
234.375,128.245618941
253.125,127.322698682
271.875,128.382595024
280.361864059,135.6625
289.553152605,145.6375
290.625,146.951113003
300.264690874,155.6125
309.375,164.300457564
311.390325945,165.5875
328.125,175.531115461
328.174721347,175.5625
343.759768414,185.5375
346.875,187.366272973
359.780763156,195.5125
365.625,197.586717103
384.375,204.24140474
386.906402378,205.4875
403.125,211.366708524
409.609369905,215.4625
419.332244484,225.4375
421.875,227.645067417
433.366897191,235.4125
440.625,243.094808637
445.109370825,245.3875
454.65128993,255.3625
459.375,261.539397084
466.36920373,265.3375
475.947277011,275.3125
478.125,277.39714198
492.686687672,285.2875
496.875,291.54537707
504.629147957,295.2625
515.625,300.068708416
529.066434018,305.2375
534.375,307.349796104
553.125,314.810483619
554.135336799,315.2125
571.875,322.27116843
579.204083976,325.1875
590.625,329.732070021
604.272113381,335.1625
609.375,337.193029659
628.125,344.653989296
629.606174043,345.1375
646.875,353.890562551
662.051587271,345.1375
665.625,339.234245873
668.076458556,335.1625
674.18316383,325.1875
680.289861098,315.2125
684.375,308.539624699

