#: table_doi: 10.17182/hepdata.83011.v3/t4
#: name: Table 3
#: description: Acceptance for SR3 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR3Acceptance.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','ACCEPTANCE [PCT]'
250,230,0.0054
275,195,0.049
275,225,0.036
275,250,0.011
275,270,0.00081
300,220,0.068
300,260,0.037
300,280,0.0059
300,295,0.00085
325,245,0.084
325,260,0.078
325,295,0.025
325,320,0.00091
350,270,0.11
350,295,0.078
350,305,0.055
350,345,0.0013
375,295,0.14
375,315,0.1
375,345,0.025
375,370,0.0018
400,320,0.16
400,330,0.15
400,370,0.027
400,395,0.0011
450,370,0.2
450,395,0.13
450,425,0.013
450,445,0.0025
500,420,0.24
500,445,0.15
500,485,0.0033
500,495,0.0028
550,470,0.27
550,510,0.083
550,530,0.0085
550,545,0.0029
600,520,0.37
600,550,0.14
600,585,0.0
600,595,0.0031
425,345,0.15
425,360,0.14
425,395,0.023
425,420,0.0018
475,395,0.2
475,415,0.16
475,445,0.026
475,470,0.0032
525,445,0.27
525,460,0.2
525,495,0.027
525,520,0.0028
575,495,0.3
575,515,0.18
575,545,0.02
575,570,0.0
350,100,0.19
350,200,0.15
400,200,0.26
450,100,0.3
450,200,0.31
500,200,0.46
500,300,0.48
500,350,0.42
550,1,0.48
550,100,0.43
550,150,0.48
550,200,0.42
550,300,0.59
550,400,0.57
600,1,0.39
600,100,0.46
600,200,0.52
600,250,0.51
600,300,0.59
600,350,0.65
600,400,0.73
600,450,0.66
650,1,0.36
650,100,0.44
650,200,0.55
650,300,0.66
650,400,0.74
650,500,0.83
700,1,0.39
700,100,0.44
700,250,0.56
700,300,0.51
700,350,0.78
700,400,0.72
700,450,0.86
700,500,0.86
750,1,0.41
750,100,0.41
750,250,0.5
750,350,0.65
750,450,0.83
750,500,0.79
800,1,0.47
800,100,0.55
800,200,0.51
800,250,0.53
800,350,0.47
800,400,0.59
800,450,0.8
800,500,0.81
850,1,0.54
850,100,0.45
850,200,0.55
850,300,0.69
850,400,0.72
850,500,0.88
900,1,0.38
900,100,0.47
900,200,0.56
900,250,0.61
900,300,0.35
900,350,0.53
900,400,0.51
900,450,0.68
900,500,0.76
950,1,0.42
950,100,0.39
950,250,0.55
950,350,0.4
950,450,0.62
950,500,0.63
1000,1,0.46
1000,100,0.41
1000,200,0.51
1000,250,0.53
1000,300,0.44
1000,350,0.49
1000,400,0.59
1000,450,0.59
1000,500,0.58
1100,1,0.42
1100,100,0.34
1100,200,0.4
1100,250,0.42
1100,300,0.37
1100,350,0.35
1100,400,0.44
1100,450,0.58
1100,500,0.49

