#: table_doi: 10.17182/hepdata.83011.v3/t11
#: name: Table 10
#: description: Detector efficiency for SR4 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR4Efficiency.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','EFFICIENCY [PCT]'
250,230,92.0
275,195,34.0
275,225,41.0
275,250,88.0
275,270,120.0
300,220,35.0
300,260,50.0
300,280,140.0
300,295,290.0
325,245,40.0
325,260,42.0
325,295,38.0
325,320,230.0
350,270,42.0
350,295,45.0
350,305,44.0
350,345,220.0
375,295,34.0
375,315,31.0
375,345,50.0
375,370,200.0
400,320,36.0
400,330,43.0
400,370,87.0
400,395,57.0
450,370,33.0
450,395,37.0
450,425,91.0
450,445,94.0
500,420,38.0
500,445,50.0
500,485,210.0
500,495,180.0
550,470,39.0
550,510,64.0
550,530,340.0
550,545,150.0
600,520,36.0
600,550,51.0
600,585,430.0
600,595,230.0
425,345,37.0
425,360,56.0
425,395,34.0
425,420,210.0
475,395,56.0
475,415,37.0
475,445,44.0
475,470,350.0
525,445,32.0
525,460,39.0
525,495,330.0
525,520,140.0
575,495,33.0
575,515,45.0
575,545,150.0
575,570,93.0
350,100,34.0
350,200,36.0
400,200,34.0
450,100,31.0
450,200,38.0
500,200,38.0
500,300,30.0
500,350,41.0
550,1,54.0
550,100,60.0
550,150,45.0
550,200,45.0
550,300,38.0
550,400,37.0
600,1,65.0
600,100,66.0
600,200,55.0
600,250,48.0
600,300,38.0
600,350,48.0
600,400,33.0
600,450,24.0
650,1,84.0
650,100,80.0
650,200,62.0
650,300,48.0
650,400,47.0
650,500,30.0
700,1,75.0
700,100,75.0
700,250,63.0
700,300,57.0
700,350,58.0
700,400,34.0
700,450,35.0
700,500,40.0
750,1,87.0
750,100,72.0
750,250,73.0
750,350,62.0
750,450,45.0
750,500,52.0
800,1,97.0
800,100,93.0
800,200,90.0
800,250,81.0
800,350,75.0
800,400,66.0
800,450,49.0
800,500,41.0
850,1,100.0
850,100,98.0
850,200,88.0
850,300,86.0
850,400,66.0
850,500,52.0
900,1,130.0
900,100,130.0
900,200,100.0
900,250,94.0
900,300,81.0
900,350,90.0
900,400,87.0
900,450,61.0
900,500,66.0
950,1,120.0
950,100,120.0
950,250,110.0
950,350,84.0
950,450,71.0
950,500,70.0
1000,1,110.0
1000,100,130.0
1000,200,110.0
1000,250,120.0
1000,300,100.0
1000,350,96.0
1000,400,98.0
1000,450,86.0
1000,500,76.0
1100,1,130.0
1100,100,130.0
1100,200,120.0
1100,250,120.0
1100,300,140.0
1100,350,130.0
1100,400,110.0
1100,450,110.0
1100,500,100.0

