#: table_doi: 10.17182/hepdata.83011.v3/t8
#: name: Table 7
#: description: Detector efficiency for SR1 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR1Efficiency.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','EFFICIENCY [PCT]'
250,230,25.0
275,195,25.0
275,225,27.0
275,250,25.0
275,270,84.0
300,220,22.0
300,260,24.0
300,280,23.0
300,295,67.0
325,245,26.0
325,260,24.0
325,295,21.0
325,320,40.0
350,270,23.0
350,295,24.0
350,305,23.0
350,345,72.0
375,295,26.0
375,315,27.0
375,345,22.0
375,370,52.0
400,320,24.0
400,330,25.0
400,370,21.0
400,395,73.0
450,370,22.0
450,395,22.0
450,425,19.0
450,445,130.0
500,420,25.0
500,445,23.0
500,485,19.0
500,495,52.0
550,470,21.0
550,510,21.0
550,530,13.0
550,545,87.0
600,520,20.0
600,550,19.0
600,585,22.0
600,595,74.0
425,345,20.0
425,360,21.0
425,395,18.0
425,420,23.0
475,395,22.0
475,415,20.0
475,445,21.0
475,470,59.0
525,445,23.0
525,460,22.0
525,495,22.0
525,520,180.0
575,495,21.0
575,515,21.0
575,545,18.0
575,570,83.0
350,100,100.0
350,200,39.0
400,200,31.0
450,100,460.0
450,200,68.0
500,200,81.0
500,300,55.0
500,350,27.0
550,1,480.0
550,100,310.0
550,150,220.0
550,200,700.0
550,300,75.0
550,400,51.0
600,1,870.0
600,100,320.0
600,200,750.0
600,250,260.0
600,300,180.0
600,350,140.0
600,400,100.0
600,450,43.0
650,1,0.0
650,100,0.0
650,200,260.0
650,300,140.0
650,400,91.0
650,500,36.0
700,1,580.0
700,100,1000.0
700,250,350.0
700,300,300.0
700,350,550.0
700,400,230.0
700,450,35.0
700,500,66.0
750,1,410.0
750,100,1400.0
750,250,1900.0
750,350,170.0
750,450,210.0
750,500,73.0
800,1,1800.0
800,100,650.0
800,200,1000.0
800,250,640.0
800,350,720.0
800,400,0.0
800,450,180.0
800,500,95.0
850,1,0.0
850,100,1700.0
850,200,1500.0
850,300,250.0
850,400,1600.0
850,500,430.0
900,1,1500.0
900,100,0.0
900,200,0.0
900,250,0.0
900,300,0.0
900,350,430.0
900,400,490.0
900,450,0.0
900,500,0.0
950,1,0.0
950,100,990.0
950,250,0.0
950,350,1200.0
950,450,720.0
950,500,0.0
1000,1,1700.0
1000,100,730.0
1000,200,880.0
1000,250,1500.0
1000,300,0.0
1000,350,0.0
1000,400,0.0
1000,450,0.0
1000,500,0.0
1100,1,0.0
1100,100,1700.0
1100,200,1800.0
1100,250,800.0
1100,300,0.0
1100,350,0.0
1100,400,0.0
1100,450,1600.0
1100,500,1200.0

