#: table_doi: 10.17182/hepdata.83011.v3/t5
#: name: Table 4
#: description: Acceptance for SR4 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR4Acceptance.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Acceptance
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','ACCEPTANCE [PCT]'
250,230,0.0013
275,195,0.026
275,225,0.015
275,250,0.0024
275,270,0.0019
300,220,0.034
300,260,0.012
300,280,0.0017
300,295,0.0012
325,245,0.045
325,260,0.033
325,295,0.0065
325,320,0.00091
350,270,0.061
350,295,0.038
350,305,0.02
350,345,0.00099
375,295,0.069
375,315,0.04
375,345,0.0047
375,370,0.0014
400,320,0.079
400,330,0.068
400,370,0.0048
400,395,0.0045
450,370,0.1
450,395,0.052
450,425,0.0059
450,445,0.0062
500,420,0.11
500,445,0.052
500,485,0.005
500,495,0.0083
550,470,0.11
550,510,0.022
550,530,0.0014
550,545,0.0044
600,520,0.16
600,550,0.039
600,585,0.003
600,595,0.0047
425,345,0.07
425,360,0.057
425,395,0.005
425,420,0.0024
475,395,0.086
475,415,0.058
475,445,0.006
475,470,0.0045
525,445,0.13
525,460,0.079
525,495,0.0027
525,520,0.0014
575,495,0.13
575,515,0.072
575,545,0.0029
575,570,0.011
350,100,0.14
350,200,0.089
400,200,0.17
450,100,0.47
450,200,0.34
500,200,0.6
500,300,0.42
500,350,0.24
550,1,1.2
550,100,0.98
550,150,1.1
550,200,0.87
550,300,0.63
550,400,0.36
600,1,1.3
600,100,1.3
600,200,1.3
600,250,1.2
600,300,0.99
600,350,0.79
600,400,0.64
600,450,0.47
650,1,1.4
650,100,1.4
650,200,1.3
650,300,1.3
650,400,0.94
650,500,0.55
700,1,1.7
700,100,1.7
700,250,1.8
700,300,1.5
700,350,1.6
700,400,1.5
700,450,1.1
700,500,0.79
750,1,1.9
750,100,1.9
750,250,1.9
750,350,2.1
750,450,1.5
750,500,1.3
800,1,2.0
800,100,2.2
800,200,2.0
800,250,2.2
800,350,2.1
800,400,2.1
800,450,2.0
800,500,1.9
850,1,2.3
850,100,2.2
850,200,2.3
850,300,2.3
850,400,2.4
850,500,2.3
900,1,1.9
900,100,2.0
900,200,2.2
900,250,2.4
900,300,2.2
900,350,2.3
900,400,2.3
900,450,2.5
900,500,2.3
950,1,2.1
950,100,2.0
950,250,2.1
950,350,2.3
950,450,2.5
950,500,2.4
1000,1,2.0
1000,100,2.4
1000,200,2.3
1000,250,2.3
1000,300,2.2
1000,350,2.5
1000,400,2.3
1000,450,2.5
1000,500,2.6
1100,1,2.1
1100,100,2.2
1100,200,2.4
1100,250,2.4
1100,300,2.3
1100,350,2.3
1100,400,2.5
1100,450,2.6
1100,500,2.4

