#: table_doi: 10.17182/hepdata.83011.v3/t9
#: name: Table 8
#: description: Detector efficiency for SR2 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR2Efficiency.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','EFFICIENCY [PCT]'
250,230,24.0
275,195,20.0
275,225,24.0
275,250,29.0
275,270,84.0
300,220,18.0
300,260,26.0
300,280,25.0
300,295,79.0
325,245,21.0
325,260,22.0
325,295,26.0
325,320,130.0
350,270,25.0
350,295,29.0
350,305,23.0
350,345,240.0
375,295,24.0
375,315,23.0
375,345,26.0
375,370,170.0
400,320,20.0
400,330,23.0
400,370,24.0
400,395,96.0
450,370,21.0
450,395,23.0
450,425,32.0
450,445,110.0
500,420,22.0
500,445,23.0
500,485,70.0
500,495,34.0
550,470,21.0
550,510,23.0
550,530,19.0
550,545,0.0
600,520,16.0
600,550,18.0
600,585,99.0
600,595,86.0
425,345,22.0
425,360,21.0
425,395,28.0
425,420,0.0
475,395,21.0
475,415,21.0
475,445,27.0
475,470,80.0
525,445,19.0
525,460,21.0
525,495,34.0
525,520,170.0
575,495,23.0
575,515,22.0
575,545,25.0
575,570,71.0
350,100,21.0
350,200,15.0
400,200,16.0
450,100,27.0
450,200,22.0
500,200,17.0
500,300,13.0
500,350,20.0
550,1,62.0
550,100,35.0
550,150,24.0
550,200,36.0
550,300,18.0
550,400,19.0
600,1,41.0
600,100,57.0
600,200,41.0
600,250,39.0
600,300,33.0
600,350,16.0
600,400,18.0
600,450,15.0
650,1,130.0
650,100,68.0
650,200,25.0
650,300,33.0
650,400,10.0
650,500,31.0
700,1,91.0
700,100,49.0
700,250,53.0
700,300,110.0
700,350,39.0
700,400,51.0
700,450,22.0
700,500,19.0
750,1,63.0
750,100,88.0
750,250,65.0
750,350,25.0
750,450,27.0
750,500,17.0
800,1,82.0
800,100,69.0
800,200,86.0
800,250,82.0
800,350,48.0
800,400,24.0
800,450,34.0
800,500,13.0
850,1,150.0
850,100,86.0
850,200,120.0
850,300,47.0
850,400,33.0
850,500,39.0
900,1,110.0
900,100,97.0
900,200,120.0
900,250,33.0
900,300,100.0
900,350,54.0
900,400,99.0
900,450,44.0
900,500,42.0
950,1,170.0
950,100,120.0
950,250,64.0
950,350,63.0
950,450,70.0
950,500,65.0
1000,1,140.0
1000,100,140.0
1000,200,120.0
1000,250,130.0
1000,300,96.0
1000,350,77.0
1000,400,59.0
1000,450,73.0
1000,500,69.0
1100,1,240.0
1100,100,120.0
1100,200,200.0
1100,250,72.0
1100,300,380.0
1100,350,140.0
1100,400,52.0
1100,450,100.0
1100,500,180.0

