#: table_doi: 10.17182/hepdata.83011.v3/t12
#: name: Table 11
#: description: Detector efficiency for SR5 in the $\tilde{t}_1/\tilde{c}_1-\tilde{\chi}_1^0$ mass plane.

#: data_file: SR5Efficiency.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: Efficiency
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1)) [GEV]','EFFICIENCY [PCT]'
250,230,230.0
275,195,130.0
275,225,280.0
275,250,100.0
275,270,110.0
300,220,81.0
300,260,180.0
300,280,140.0
300,295,240.0
325,245,57.0
325,260,130.0
325,295,46.0
325,320,150.0
350,270,110.0
350,295,78.0
350,305,260.0
350,345,590.0
375,295,52.0
375,315,150.0
375,345,0.0
375,370,290.0
400,320,150.0
400,330,170.0
400,370,0.0
400,395,33.0
450,370,120.0
450,395,100.0
450,425,110.0
450,445,130.0
500,420,86.0
500,445,75.0
500,485,41.0
500,495,160.0
550,470,48.0
550,510,0.0
550,530,210.0
550,545,15.0
600,520,82.0
600,550,220.0
600,585,0.0
600,595,460.0
425,345,88.0
425,360,200.0
425,395,0.0
425,420,240.0
475,395,130.0
475,415,73.0
475,445,0.0
475,470,0.0
525,445,21.0
525,460,75.0
525,495,0.0
525,520,0.0
575,495,9.4
575,515,58.0
575,545,0.0
575,570,170.0
350,100,95.0
350,200,53.0
400,200,73.0
450,100,40.0
450,200,57.0
500,200,47.0
500,300,42.0
500,350,52.0
550,1,31.0
550,100,33.0
550,150,39.0
550,200,36.0
550,300,44.0
550,400,83.0
600,1,26.0
600,100,37.0
600,200,42.0
600,250,32.0
600,300,44.0
600,350,41.0
600,400,59.0
600,450,59.0
650,1,31.0
650,100,26.0
650,200,31.0
650,300,39.0
650,400,40.0
650,500,42.0
700,1,23.0
700,100,28.0
700,250,32.0
700,300,26.0
700,350,43.0
700,400,36.0
700,450,24.0
700,500,69.0
750,1,26.0
750,100,24.0
750,250,28.0
750,350,34.0
750,450,30.0
750,500,54.0
800,1,23.0
800,100,26.0
800,200,29.0
800,250,31.0
800,350,30.0
800,400,39.0
800,450,33.0
800,500,32.0
850,1,25.0
850,100,24.0
850,200,24.0
850,300,28.0
850,400,31.0
850,500,35.0
900,1,24.0
900,100,25.0
900,200,22.0
900,250,29.0
900,300,22.0
900,350,28.0
900,400,30.0
900,450,27.0
900,500,30.0
950,1,22.0
950,100,21.0
950,250,27.0
950,350,21.0
950,450,26.0
950,500,25.0
1000,1,18.0
1000,100,22.0
1000,200,21.0
1000,250,23.0
1000,300,22.0
1000,350,21.0
1000,400,23.0
1000,450,25.0
1000,500,26.0
1100,1,18.0
1100,100,20.0
1100,200,19.0
1100,250,20.0
1100,300,23.0
1100,350,22.0
1100,400,23.0
1100,450,24.0
1100,500,21.0

