#: table_doi: 10.17182/hepdata.83011.v3/t14
#: name: Table 13
#: description: Expected exclusion limit at 95% CL in the $m(\tilde t_1/\tilde c_1)$-$m(\tilde\chi^0_1)$ plane for the stop/scharm pair production scenario.

#: data_file: BestSRLimitsExpected.yaml
#: keyword reactions: P P --> STOP STOPBAR X
#: keyword reactions: P P --> SCHARM SCHARMBAR X
#: keyword observables: EXCLUSION
#: keyword phrases: Inclusive | Stop | Scharm | Integrated Cross Section | Cross Section | Proton-Proton Scattering | Supersymmetry
#: keyword cmenergies: 13000.0
#: SQRT(S) [GeV],13000.0
#'M(STOP/SCHARM)) [GEV]','M(NEUTRALINO1) [GEV]'
280.0,269.3
280.6,270.0
290.0,279.1
290.7,280.0
300.0,288.4
302.2,290.0
310.0,297.8
313.1,300.0
320.0,305.9
325.1,310.0
330.0,313.9
337.5,320.0
340.0,322.5
350.0,327.3
351.9,330.0
358.8,340.0
360.0,341.4
367.3,350.0
370.0,352.7
378.0,360.0
380.0,361.8
390.0,369.8
390.2,370.0
400.0,379.8
400.3,380.0
410.0,389.7
410.9,390.0
420.0,393.1
430.0,397.1
434.4,400.0
440.0,403.3
450.0,408.1
452.7,410.0
460.0,418.1
470.0,419.6
470.8,420.0
480.0,424.6
487.2,430.0
490.0,432.5
500.0,438.3
505.0,430.0
504.4,420.0
500.8,410.0
500.0,407.9
495.9,400.0
491.6,390.0
491.6,390.0
500.0,382.9
507.2,380.0
510.0,378.9
520.0,377.6
525.7,370.0
524.4,360.0
523.1,350.0
521.7,340.0
520.4,330.0
520.0,327.1
519.0,320.0
517.7,310.0
516.4,300.0
515.0,290.0
513.7,280.0
513.3,270.0
520.0,260.4
530.0,260.1
536.1,260.0
540.0,259.9
540.8,260.0
550.0,260.9
560.0,261.8
570.0,262.7
580.0,263.6
590.0,262.6
600.0,261.1
607.5,260.0
610.0,259.6
620.0,258.2
630.0,256.7
640.0,255.2
650.0,253.7
660.0,252.3
670.0,252.7
680.0,254.5
690.0,256.4
700.0,254.9
710.0,252.0
716.9,250.0
720.0,246.8
726.8,240.0
730.0,236.7
740.0,232.9
750.0,232.2
760.0,231.6
762.7,230.0
762.1,220.0
761.5,210.0
760.9,200.0
760.2,190.0
760.0,186.0
759.6,180.0
759.2,170.0
760.0,168.1
763.3,160.0
767.3,150.0
770.0,143.3
771.4,140.0
775.4,130.0
779.4,120.0
780.0,118.6
783.5,110.0
787.5,100.0
788.9,90.0
790.0,82.7
790.4,80.0
791.8,70.0
793.3,60.0
794.7,50.0
796.2,40.0
796.2,0.0

