#: table_doi: 10.17182/hepdata.77891.v5/t30
#: name: Exclusion contour(exp.) 1  : RJR
#: description: Expected 95% CL exclusion contours from RJR-based searches on the light-flavor squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay directly into the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{0}$.
#: data_file: data30.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1520.0,20.2
1522.0,40.4
1524.0,60.61
1527.0,80.81
1528.0,101.0
1527.0,121.2
1525.0,141.4
1522.0,161.6
1519.0,181.8
1516.0,202.0
1511.0,222.2
1511.0,223.4
1506.0,242.4
1500.0,262.6
1493.0,282.8
1489.0,294.5
1486.0,303.0
1481.0,323.2
1475.0,343.4
1467.0,363.6
1467.0,364.1
1458.0,383.8
1448.0,404.0
1444.0,411.0
1438.0,424.2
1427.0,444.4
1422.0,452.0
1415.0,464.6
1401.0,484.8
1400.0,486.6
1386.0,505.1
1378.0,513.7
1367.0,525.3
1356.0,536.0
1345.0,545.5
1333.0,554.6
1318.0,565.7
1311.0,570.0
1289.0,583.0
1283.0,585.9
1267.0,594.5
1244.0,603.5
1236.0,606.1
1222.0,610.3
1200.0,615.4
1178.0,619.6
1156.0,622.7
1133.0,624.9
1112.0,626.3
1111.0,626.3
1089.0,626.7
1067.0,626.3
1062.0,626.3
1044.0,626.1
1022.0,625.6
1000.0,622.6
977.8,610.0
972.6,606.1
955.6,586.9
954.3,585.9
933.3,567.1
930.9,565.7
911.1,554.9
888.9,547.0
880.1,545.5
866.7,543.6
844.4,542.9
822.2,545.0
820.9,545.5
800.0,553.5
785.9,565.7
777.8,573.7
769.4,585.9
758.6,606.1
755.6,612.7
747.7,626.3
733.3,645.3
730.2,646.5
711.1,652.2
705.7,646.5
688.9,640.7
666.7,636.1
644.4,632.5
639.2,626.3
628.9,606.1
622.2,602.0
600.0,592.4
592.8,585.9
578.0,565.7
577.8,565.2
555.6,553.0
547.4,545.5
536.8,525.3
533.3,520.6
511.1,510.5
505.2,505.1
492.6,484.8
488.9,480.9
470.1,464.6
466.7,461.0
444.4,447.4
440.1,444.4
425.6,424.2
422.2,415.3
412.4,404.0
400.0,399.4
381.2,383.8
377.8,378.1
363.3,363.6
355.6,355.7
341.0,343.4
333.3,336.0
319.6,323.2
311.1,314.5

