#: table_doi: 10.17182/hepdata.77891.v5/t28
#: name: Exclusion contour(exp.) 1  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the light-flavor squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay directly into the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{0}$.
#: data_file: data28.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
403.9,403.9
425.0,425.0
429.6,429.6
454.9,454.9
475.0,475.0
488.2,488.2
525.0,525.0
527.0,527.0
561.3,561.3
575.0,574.5
602.9,591.2
625.0,608.4
658.5,618.8
675.0,624.9
725.0,626.4
742.7,618.8
775.0,596.3
786.0,591.2
825.0,579.7
875.0,576.6
925.0,581.9
967.8,591.2
975.0,593.6
1025.0,604.5
1075.0,605.8
1125.0,602.4
1175.0,595.6
1192.0,591.2
1225.0,581.3
1258.0,563.8
1275.0,553.3
1298.0,536.2
1325.0,512.5
1329.0,508.8
1359.0,481.2
1375.0,462.5
1382.0,453.8
1400.0,426.2
1415.0,398.8
1425.0,380.5
1431.0,371.2
1447.0,343.8
1460.0,316.2
1469.0,288.8
1473.0,261.2
1475.0,233.8
1475.0,229.5
1477.0,206.2
1483.0,178.8
1488.0,151.2
1491.0,123.8
1492.0,96.25
1492.0,68.75
1490.0,41.25

