#: table_doi: 10.17182/hepdata.77891.v5/t43
#: name: Exclusion contour(obs.) 3  : Meff
#: description: Observed 95% CL exclusion contours from Meff-based searches on the squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data43.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
300.0,248.9
330.0,254.5
360.0,255.1
371.1,261.2
368.2,278.8
365.9,296.2
360.0,301.2
353.9,313.8
358.8,331.2
360.0,332.6
374.9,348.8
388.5,366.2
390.0,367.3
416.5,383.8
420.0,385.8
450.0,395.7
480.0,394.2
498.8,383.8
510.0,377.1
540.0,368.7
570.0,366.6
579.2,366.2
600.0,365.2
630.0,366.1
630.9,366.2
660.0,371.6
690.0,376.2
720.0,376.5
750.0,372.3
770.7,366.2
780.0,363.1
810.0,351.5
824.9,348.8
840.0,345.9
870.0,347.7
877.4,348.8
900.0,352.1
930.0,352.6
943.6,348.8
960.0,342.2
972.6,331.2
990.0,314.7
990.9,313.8
1009.0,296.2
1020.0,283.9
1025.0,278.8
1041.0,261.2
1050.0,249.8
1055.0,243.8
1065.0,226.2

