#: table_doi: 10.17182/hepdata.77891.v5/t69
#: name: Exclusion contour(exp.) 10  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the gluino and squark masses for inclusive squark-gluino production in pMSSM models with $m_{\tilde{\chi}_{1}^0}=0$ GeV.
#: data_file: data69.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK or SQUARK GLUINO or GLUINO GLUINO X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(GLUINO) [GEV],M(SQUARK) [GEV]
2176.0,3356.0
2208.0,3244.0
2231.0,3165.0
2242.0,3131.0
2299.0,3019.0
2344.0,2969.0
2408.0,2906.0
2456.0,2870.0
2569.0,2812.0
2625.0,2794.0
2681.0,2776.0
2794.0,2744.0
2906.0,2707.0
2995.0,2681.0
3019.0,2674.0
3131.0,2654.0
3244.0,2637.0
3356.0,2619.0
3469.0,2598.0
3581.0,2576.0
3614.0,2569.0
3694.0,2555.0
3806.0,2532.0
3919.0,2507.0
4031.0,2483.0
4144.0,2466.0
4237.0,2456.0
4256.0,2454.0
4369.0,2444.0
4481.0,2433.0
4594.0,2422.0
4706.0,2410.0
4819.0,2397.0
4931.0,2384.0
5044.0,2372.0
5156.0,2362.0
5269.0,2354.0
5381.0,2344.0
5387.0,2344.0
5494.0,2334.0
5606.0,2322.0
5719.0,2307.0
5831.0,2292.0
5944.0,2280.0
1994.0,5944.0
1997.0,5831.0
1999.0,5719.0
2002.0,5606.0
2005.0,5494.0
2006.0,5416.0
2007.0,5381.0
2010.0,5269.0
2013.0,5156.0
2016.0,5044.0
2018.0,4931.0
2019.0,4819.0
2019.0,4706.0
2019.0,4594.0
2019.0,4481.0
2018.0,4369.0
2017.0,4256.0
2017.0,4144.0
2021.0,4031.0
2037.0,3919.0
2060.0,3806.0
2086.0,3694.0
2112.0,3581.0
2119.0,3553.0
2144.0,3469.0
2176.0,3356.0

