#: table_doi: 10.17182/hepdata.77891.v5/t42
#: name: Exclusion contour(exp.) 3  : Meff
#: description: Expected 95% CL exclusion contours from Meff-based searches on the squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data42.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
300.0,279.0
324.0,296.2
330.0,301.4
343.0,313.8
350.4,331.2
360.0,342.2
366.0,348.8
379.2,366.2
390.0,374.1
404.7,383.8
420.0,393.5
435.6,401.2
450.0,414.9
459.7,418.8
480.0,435.1
494.2,436.2
510.0,443.3
512.0,436.2
514.9,418.8
524.1,401.2
540.0,387.6
549.3,383.8
570.0,375.5
600.0,369.4
630.0,369.1
660.0,374.3
690.0,379.0
720.0,381.7
743.9,383.8
750.0,384.3
780.0,386.5
810.0,387.3
840.0,389.0
870.0,393.4
900.0,398.8
920.5,401.2
930.0,402.4
960.0,402.5
967.7,401.2
990.0,396.6
1013.0,383.8
1020.0,377.3
1031.0,366.2
1044.0,348.8
1050.0,340.1
1056.0,331.2
1068.0,313.8
1079.0,296.2
1080.0,294.3
1091.0,278.8
1103.0,261.2
1110.0,249.7
1113.0,243.8
1121.0,226.2

