#: table_doi: 10.17182/hepdata.77891.v5/t44
#: name: Exclusion contour(exp.) 3  : RJR
#: description: Expected 95% CL exclusion contours from RJR-based searches on the squark and lightest neutralino masses in a SUSY scenario where squarks are produced in pairs and decay via an intermediate lightest chargino to the lightest neutralino, $\tilde{q} \rightarrow q \tilde{\chi}_{1}^{\pm} \rightarrow q W^{\pm} \tilde{\chi}_{1}^{0}$.
#: data_file: data44.yaml
#: data_license:   
#: keyword reactions: P P --> SQUARK SQUARK X
#: keyword observables: CLS
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
M(SQUARK) [GEV],M(NEUTRALINO1) [GEV]
1118.0,222.2
1117.0,242.4
1117.0,262.6
1116.0,282.8
1114.0,303.0
1111.0,310.9
1105.0,323.2
1091.0,333.3
1075.0,343.4
1071.0,345.5
1051.0,354.6
1030.0,363.3
1030.0,363.6
1010.0,372.5
990.4,383.8
989.9,384.1
969.7,398.3
962.2,404.0
949.5,413.4
936.3,424.2
929.3,426.9
922.9,424.2
909.1,412.8
899.1,404.0
888.9,396.5
868.7,384.5
867.5,383.8
848.5,375.2
828.3,366.7
821.7,363.6
808.1,357.8
787.9,347.6
780.4,343.4
767.7,336.8
747.5,325.9
743.0,323.2
727.3,316.3
707.1,312.9
686.9,308.7
668.6,303.0
666.7,302.5
646.5,296.3
626.3,292.9
606.1,297.2
596.3,303.0
585.9,316.3
581.5,323.2
579.5,343.4
584.5,363.6
585.9,366.9
592.5,383.8
600.7,404.0
606.1,417.0
608.8,424.2
621.2,444.4
626.3,450.6
639.2,464.6
646.5,471.5
658.6,484.8
666.7,495.2
673.9,505.1
681.6,525.3
677.7,545.5
666.7,555.7
646.5,564.0
626.3,559.3
614.6,545.5
606.1,536.6
597.0,525.3
585.9,510.9
577.2,505.1
565.7,498.7
545.5,493.9
525.3,488.3
522.7,484.8
511.9,464.6
505.1,449.6
502.1,444.4
487.0,424.2
484.8,421.9
464.6,411.0
444.4,410.5
424.2,411.7
412.3,404.0
404.0,397.8
383.8,384.2
383.5,383.8
366.4,363.6
363.6,360.9
343.4,344.4
342.3,343.4
323.2,326.3
320.0,323.2
303.0,305.0
300.9,303.0

